,City,status,Number,rpt_date
286,Colbert,Deceased,12,12/7/2021
287,Colbert,Recovered*,519,12/7/2021
288,Colcord,Active,9,12/7/2021
289,Colcord,Deceased,10,12/7/2021
290,Colcord,Recovered*,801,12/7/2021
291,Collinsville,Active,78,12/7/2021
292,Collinsville,Deceased,63,12/7/2021
293,Collinsville,Recovered*,3771,12/7/2021
294,Colony,Deceased,1 to 4,12/7/2021
295,Colony,Recovered*,56,12/7/2021
296,Comanche,Active,17,12/7/2021
297,Comanche,Deceased,24,12/7/2021
298,Comanche,Recovered*,863,12/7/2021
299,Commerce,Active,10,12/7/2021
300,Commerce,Deceased,12,12/7/2021
301,Commerce,Recovered*,529,12/7/2021
302,Copan,Active,6,12/7/2021
303,Copan,Deceased,7,12/7/2021
304,Copan,Recovered*,255,12/7/2021
305,Corn,Active,1 to 4,12/7/2021
306,Corn,Deceased,5,12/7/2021
307,Corn,Recovered*,86,12/7/2021
308,Council Hill,Deceased,5,12/7/2021
309,Council Hill,Recovered*,168,12/7/2021
310,Covington,Deceased,1 to 4,12/7/2021
311,Covington,Recovered*,86,12/7/2021
312,Coweta,Active,62,12/7/2021
313,Coweta,Deceased,55,12/7/2021
314,Coweta,Recovered*,3035,12/7/2021
315,Cowlington,Recovered*,1 to 4,12/7/2021
316,Coyle,Active,7,12/7/2021
317,Coyle,Recovered*,121,12/7/2021
318,Crescent,Active,11,12/7/2021
319,Crescent,Deceased,6,12/7/2021
320,Crescent,Recovered*,404,12/7/2021
321,Cromwell,Active,1 to 4,12/7/2021
322,Cromwell,Deceased,1 to 4,12/7/2021
323,Cromwell,Recovered*,29,12/7/2021
324,Crowder,Active,1 to 4,12/7/2021
325,Crowder,Recovered*,84,12/7/2021
326,Cushing,Active,14,12/7/2021
327,Cushing,Deceased,32,12/7/2021
328,Cushing,Recovered*,1972,12/7/2021
329,Custer City,Active,1 to 4,12/7/2021
330,Custer City,Deceased,1 to 4,12/7/2021
331,Custer City,Recovered*,99,12/7/2021
332,Cyril,Active,5,12/7/2021
333,Cyril,Deceased,1 to 4,12/7/2021
334,Cyril,Recovered*,273,12/7/2021
335,Dacoma,Recovered*,38,12/7/2021
336,Davenport,Recovered*,152,12/7/2021
337,Davidson,Active,1 to 4,12/7/2021
338,Davidson,Recovered*,37,12/7/2021
339,Davis,Active,6,12/7/2021
340,Davis,Deceased,18,12/7/2021
341,Davis,Recovered*,954,12/7/2021
342,Deer Creek,Deceased,1 to 4,12/7/2021
343,Deer Creek,Recovered*,54,12/7/2021
344,Del City,Active,20,12/7/2021
345,Del City,Deceased,27,12/7/2021
346,Del City,Recovered*,861,12/7/2021
347,Delaware,Deceased,5,12/7/2021
348,Delaware,Recovered*,187,12/7/2021
349,Depew,Active,1 to 4,12/7/2021
350,Depew,Deceased,6,12/7/2021
351,Depew,Recovered*,246,12/7/2021
352,Devol,Recovered*,56,12/7/2021
353,Dewar,Active,1 to 4,12/7/2021
354,Dewar,Deceased,1 to 4,12/7/2021
355,Dewar,Recovered*,122,12/7/2021
356,Dewey,Active,12,12/7/2021
357,Dewey,Deceased,23,12/7/2021
358,Dewey,Recovered*,873,12/7/2021
359,Dibble,Active,5,12/7/2021
360,Dibble,Recovered*,36,12/7/2021
361,Dill City,Active,6,12/7/2021
362,Dill City,Deceased,1 to 4,12/7/2021
363,Dill City,Recovered*,98,12/7/2021
364,Disney,Deceased,1 to 4,12/7/2021
365,Disney,Recovered*,54,12/7/2021
366,Dougherty,Recovered*,35,12/7/2021
367,Douglas,Deceased,1 to 4,12/7/2021
368,Douglas,Recovered*,33,12/7/2021
369,Dover,Deceased,1 to 4,12/7/2021
370,Dover,Recovered*,129,12/7/2021
371,Drummond,Active,1 to 4,12/7/2021
372,Drummond,Deceased,1 to 4,12/7/2021
373,Drummond,Recovered*,96,12/7/2021
374,Drumright,Active,1 to 4,12/7/2021
375,Drumright,Deceased,15,12/7/2021
376,Drumright,Recovered*,532,12/7/2021
377,Duncan,Active,90,12/7/2021
378,Duncan,Deceased,95,12/7/2021
379,Duncan,Recovered*,4999,12/7/2021
380,Durant,Active,41,12/7/2021
381,Durant,Deceased,63,12/7/2021
382,Durant,Recovered*,5308,12/7/2021
383,Dustin,Active,1 to 4,12/7/2021
384,Dustin,Deceased,6,12/7/2021
385,Dustin,Recovered*,100,12/7/2021
386,Eakly,Active,1 to 4,12/7/2021
387,Eakly,Deceased,1 to 4,12/7/2021
388,Eakly,Recovered*,54,12/7/2021
389,Earlsboro,Active,10,12/7/2021
390,Earlsboro,Deceased,6,12/7/2021
391,Earlsboro,Recovered*,364,12/7/2021
392,East Duke,Recovered*,1 to 4,12/7/2021
393,Edmond,Active,562,12/7/2021
394,Edmond,Deceased,282,12/7/2021
395,Edmond,Recovered*,24972,12/7/2021
396,El Reno,Active,24,12/7/2021
397,El Reno,Deceased,61,12/7/2021
398,El Reno,Recovered*,3214,12/7/2021
399,Eldorado,Active,1 to 4,12/7/2021
400,Eldorado,Deceased,1 to 4,12/7/2021
401,Eldorado,Recovered*,49,12/7/2021
402,Elgin,Active,7,12/7/2021
403,Elgin,Deceased,16,12/7/2021
404,Elgin,Recovered*,1195,12/7/2021
405,Elk City,Active,99,12/7/2021
406,Elk City,Deceased,51,12/7/2021
407,Elk City,Recovered*,2324,12/7/2021
408,Elmer,Recovered*,31,12/7/2021
409,Elmore City,Active,1 to 4,12/7/2021
410,Elmore City,Deceased,6,12/7/2021
411,Elmore City,Recovered*,443,12/7/2021
412,Enid,Active,103,12/7/2021
413,Enid,Deceased,203,12/7/2021
414,Enid,Recovered*,9187,12/7/2021
415,Erick,Active,16,12/7/2021
416,Erick,Deceased,1 to 4,12/7/2021
417,Erick,Recovered*,170,12/7/2021
418,Eufaula,Active,22,12/7/2021
419,Eufaula,Deceased,58,12/7/2021
420,Eufaula,Recovered*,1398,12/7/2021
421,Fair Oaks,Recovered*,1 to 4,12/7/2021
422,Fairfax,Active,1 to 4,12/7/2021
423,Fairfax,Deceased,14,12/7/2021
424,Fairfax,Recovered*,279,12/7/2021
425,Fairland,Active,14,12/7/2021
426,Fairland,Deceased,7,12/7/2021
427,Fairland,Recovered*,505,12/7/2021
428,Fairmont,Deceased,1 to 4,12/7/2021
429,Fairmont,Recovered*,64,12/7/2021
430,Fairview,Active,18,12/7/2021
431,Fairview,Deceased,23,12/7/2021
432,Fairview,Recovered*,748,12/7/2021
433,Fanshawe,Active,1 to 4,12/7/2021
434,Fanshawe,Recovered*,16,12/7/2021
435,Fargo,Active,1 to 4,12/7/2021
436,Fargo,Deceased,1 to 4,12/7/2021
437,Fargo,Recovered*,91,12/7/2021
438,Faxon,Active,1 to 4,12/7/2021
439,Faxon,Recovered*,67,12/7/2021
440,Fitzhugh,Recovered*,39,12/7/2021
441,Fletcher,Active,7,12/7/2021
442,Fletcher,Deceased,5,12/7/2021
443,Fletcher,Recovered*,504,12/7/2021
444,Forest Park,Recovered*,1 to 4,12/7/2021
445,Forgan,Active,1 to 4,12/7/2021
446,Forgan,Deceased,1 to 4,12/7/2021
447,Forgan,Recovered*,72,12/7/2021
448,Fort Cobb,Active,1 to 4,12/7/2021
449,Fort Cobb,Deceased,5,12/7/2021
450,Fort Cobb,Recovered*,290,12/7/2021
451,Fort Gibson,Active,26,12/7/2021
452,Fort Gibson,Deceased,27,12/7/2021
453,Fort Gibson,Recovered*,1634,12/7/2021
454,Fort Supply,Active,1 to 4,12/7/2021
455,Fort Supply,Deceased,1 to 4,12/7/2021
456,Fort Supply,Recovered*,944,12/7/2021
457,Fort Towson,Active,1 to 4,12/7/2021
458,Fort Towson,Deceased,5,12/7/2021
459,Fort Towson,Recovered*,276,12/7/2021
460,Foss,Active,1 to 4,12/7/2021
461,Foss,Deceased,1 to 4,12/7/2021
462,Foss,Recovered*,139,12/7/2021
463,Foster,Active,1 to 4,12/7/2021
464,Foster,Recovered*,83,12/7/2021
465,Foyil,Active,1 to 4,12/7/2021
466,Foyil,Deceased,1 to 4,12/7/2021
467,Foyil,Recovered*,32,12/7/2021
468,Francis,Active,1 to 4,12/7/2021
469,Francis,Deceased,1 to 4,12/7/2021
470,Francis,Recovered*,54,12/7/2021
471,Frederick,Active,12,12/7/2021
472,Frederick,Deceased,17,12/7/2021
473,Frederick,Recovered*,589,12/7/2021
474,Freedom,Active,1 to 4,12/7/2021
475,Freedom,Deceased,1 to 4,12/7/2021
476,Freedom,Recovered*,63,12/7/2021
477,Gage,Active,1 to 4,12/7/2021
478,Gage,Deceased,1 to 4,12/7/2021
479,Gage,Recovered*,78,12/7/2021
480,Gans,Active,1 to 4,12/7/2021
481,Gans,Deceased,1 to 4,12/7/2021
