,Town,Age Group,At least one census tract SVI≥0.75,Population,Initiated Vaccination Count,Initiated Vaccination Percent,Fully Vaccinated Count,Fully Vaccinated Percent,Additional Dose 1 Received Count,Additional Dose 1 Received Percent,Date Updated
612,Waterford,12-15,Yes,969.0,440.0,45.41,397.0,40.97,,,07/21/2021
613,Waterford,16-44,Yes,5732.0,3968.0,69.23,3696.0,64.48,,,07/21/2021
614,Waterford,45-64,Yes,6259.0,4623.0,73.86,4378.0,69.95,,,07/21/2021
615,Waterford,65+,Yes,4236.0,4074.0,96.18,3954.0,93.34,,,07/21/2021
616,Watertown,12-15,No,1118.0,385.0,34.44,319.0,28.53,,,07/21/2021
617,Watertown,16-44,No,7117.0,4512.0,63.4,4134.0,58.09,,,07/21/2021
618,Watertown,45-64,No,7146.0,4991.0,69.84,4714.0,65.97,,,07/21/2021
619,Watertown,65+,No,4055.0,3937.0,97.09,3790.0,93.46,,,07/21/2021
620,West Hartford,12-15,Yes,3400.0,2477.0,72.85,2223.0,65.38,,,07/21/2021
621,West Hartford,16-44,Yes,22577.0,19140.0,84.78,17715.0,78.46,,,07/21/2021
622,West Hartford,45-64,Yes,17430.0,15041.0,86.29,13945.0,80.01,,,07/21/2021
623,West Hartford,65+,Yes,11042.0,11192.0,100.0,10671.0,96.64,,,07/21/2021
624,West Haven,12-15,Yes,2754.0,1013.0,36.78,819.0,29.74,,,07/21/2021
625,West Haven,16-44,Yes,23334.0,12974.0,55.6,11613.0,49.77,,,07/21/2021
626,West Haven,45-64,Yes,14336.0,10720.0,74.78,9953.0,69.43,,,07/21/2021
627,West Haven,65+,Yes,7347.0,7063.0,96.13,6824.0,92.88,,,07/21/2021
628,Westbrook,12-15,No,298.0,136.0,45.64,117.0,39.26,,,07/21/2021
629,Westbrook,16-44,No,2113.0,1378.0,65.22,1242.0,58.78,,,07/21/2021
630,Westbrook,45-64,No,2201.0,1703.0,77.37,1607.0,73.01,,,07/21/2021
631,Westbrook,65+,No,1633.0,1660.0,100.0,1608.0,98.47,,,07/21/2021
632,Weston,12-15,No,886.0,605.0,68.28,536.0,60.5,,,07/21/2021
633,Weston,16-44,No,2624.0,2384.0,90.85,2157.0,82.2,,,07/21/2021
634,Weston,45-64,No,3769.0,3012.0,79.92,2846.0,75.51,,,07/21/2021
635,Weston,65+,No,1323.0,1465.0,100.0,1399.0,100.0,,,07/21/2021
636,Westport,12-15,No,2075.0,1643.0,79.18,1500.0,72.29,,,07/21/2021
637,Westport,16-44,No,6935.0,6373.0,91.9,5751.0,82.93,,,07/21/2021
638,Westport,45-64,No,9291.0,8052.0,86.66,7493.0,80.65,,,07/21/2021
639,Westport,65+,No,4605.0,4373.0,94.96,4175.0,90.66,,,07/21/2021
640,Wethersfield,12-15,No,1269.0,663.0,52.25,563.0,44.37,,,07/21/2021
641,Wethersfield,16-44,No,8591.0,6854.0,79.78,6354.0,73.96,,,07/21/2021
642,Wethersfield,45-64,No,7852.0,6348.0,80.85,6003.0,76.45,,,07/21/2021
643,Wethersfield,65+,No,5417.0,5007.0,92.43,4848.0,89.5,,,07/21/2021
644,Willington,12-15,No,251.0,115.0,45.82,105.0,41.83,,,07/21/2021
645,Willington,16-44,No,2639.0,1207.0,45.74,1115.0,42.25,,,07/21/2021
646,Willington,45-64,No,1774.0,1139.0,64.21,1082.0,60.99,,,07/21/2021
647,Willington,65+,No,735.0,853.0,100.0,824.0,100.0,,,07/21/2021
648,Wilton,12-15,No,1470.0,1022.0,69.52,929.0,63.2,,,07/21/2021
649,Wilton,16-44,No,5053.0,4605.0,91.13,4168.0,82.49,,,07/21/2021
650,Wilton,45-64,No,6127.0,5096.0,83.17,4766.0,77.79,,,07/21/2021
651,Wilton,65+,No,2814.0,3052.0,100.0,2889.0,100.0,,,07/21/2021
652,Winchester,12-15,Yes,493.0,135.0,27.38,106.0,21.5,,,07/21/2021
653,Winchester,16-44,Yes,3606.0,1726.0,47.86,1524.0,42.26,,,07/21/2021
654,Winchester,45-64,Yes,3555.0,2134.0,60.03,1979.0,55.67,,,07/21/2021
655,Winchester,65+,Yes,1998.0,1855.0,92.84,1781.0,89.14,,,07/21/2021
656,Windham,12-15,Yes,1325.0,405.0,30.57,319.0,24.08,,,07/21/2021
657,Windham,16-44,Yes,11475.0,4985.0,43.44,4528.0,39.46,,,07/21/2021
658,Windham,45-64,Yes,5600.0,3905.0,69.73,3684.0,65.79,,,07/21/2021
659,Windham,65+,Yes,3234.0,2937.0,90.82,2805.0,86.73,,,07/21/2021
660,Windsor,12-15,No,1439.0,626.0,43.5,520.0,36.14,,,07/21/2021
661,Windsor,16-44,No,9963.0,6385.0,64.09,5785.0,58.06,,,07/21/2021
662,Windsor,45-64,No,9084.0,6751.0,74.32,6329.0,69.67,,,07/21/2021
663,Windsor,65+,No,4943.0,5514.0,100.0,5258.0,100.0,,,07/21/2021
664,Windsor Locks,12-15,Yes,571.0,241.0,42.21,195.0,34.15,,,07/21/2021
665,Windsor Locks,16-44,Yes,4366.0,2535.0,58.06,2349.0,53.8,,,07/21/2021
666,Windsor Locks,45-64,Yes,3887.0,2751.0,70.77,2551.0,65.63,,,07/21/2021
667,Windsor Locks,65+,Yes,2185.0,2216.0,100.0,2136.0,97.76,,,07/21/2021
668,Wolcott,12-15,No,912.0,319.0,34.98,284.0,31.14,,,07/21/2021
669,Wolcott,16-44,No,5476.0,3269.0,59.7,2970.0,54.24,,,07/21/2021
670,Wolcott,45-64,No,5558.0,3828.0,68.87,3526.0,63.44,,,07/21/2021
