,Town,At least one census tract SVI≥0.75,Population,Initiated Vaccination Count,Initiated Vaccination Percent,Fully Vaccinated Count,Fully Vaccinated Percent,Date Updated
760,Madison,No,18030.0,12751,70.72,11176,61.99,05/19/2021
761,Manchester,Yes,57584.0,30974,53.79,25187,43.74,05/19/2021
762,Mansfield,No,25487.0,8076,31.69,6765,26.54,05/19/2021
763,Marlborough,No,6335.0,3843,60.66,3366,53.13,05/19/2021
764,Meriden,Yes,59395.0,29396,49.49,23313,39.25,05/19/2021
765,Middlebury,No,7798.0,4994,64.04,4244,54.42,05/19/2021
766,Middlefield,No,4374.0,2681,61.29,2355,53.84,05/19/2021
767,Middletown,Yes,46258.0,28569,61.76,24048,51.99,05/19/2021
768,Milford,Yes,54747.0,33079,60.42,28358,51.8,05/19/2021
769,Monroe,No,19434.0,11397,58.64,9686,49.84,05/19/2021
770,Montville,Yes,18508.0,9198,49.7,7917,42.78,05/19/2021
771,Morris,No,2254.0,1201,53.28,1017,45.12,05/19/2021
772,Naugatuck,No,31108.0,15427,49.59,12636,40.62,05/19/2021
773,New Britain,Yes,72495.0,28800,39.73,22915,31.61,05/19/2021
774,New Canaan,No,20233.0,13855,68.48,11105,54.89,05/19/2021
775,New Fairfield,No,13878.0,7707,55.53,6446,46.45,05/19/2021
776,New Hartford,No,6656.0,3866,58.08,3363,50.53,05/19/2021
777,New Haven,Yes,130250.0,59255,45.49,49601,38.08,05/19/2021
778,New London,Yes,26858.0,12042,44.84,9607,35.77,05/19/2021
779,New Milford,No,26805.0,15789,58.9,12623,47.09,05/19/2021
780,Newington,No,30014.0,18847,62.79,16239,54.1,05/19/2021
781,Newtown,No,27891.0,17105,61.33,14440,51.77,05/19/2021
782,Norfolk,No,1630.0,888,54.48,745,45.71,05/19/2021
