,Town,At least one census tract SVI≥0.75,Population,Initiated Vaccination Count,Initiated Vaccination Percent,Fully Vaccinated Count,Fully Vaccinated Percent,Date Updated
2462,Kent,No,2777.0,2267,81.63,2099,75.59,07/28/2021
2463,Killingly,Yes,17336.0,8754,50.5,8199,47.29,07/28/2021
2464,Killingworth,No,6364.0,4420,69.45,4247,66.73,07/28/2021
2465,Lebanon,No,7144.0,4393,61.49,4192,58.68,07/28/2021
2466,Ledyard,No,14621.0,8916,60.98,8487,58.05,07/28/2021
2467,Lisbon,No,4220.0,2442,57.87,2327,55.14,07/28/2021
2468,Litchfield,No,8094.0,5570,68.82,5187,64.08,07/28/2021
2469,Lyme,No,2316.0,1910,82.47,1835,79.23,07/28/2021
2470,Madison,No,18030.0,13787,76.47,13169,73.04,07/28/2021
2471,Manchester,Yes,57584.0,35759,62.1,33263,57.76,07/28/2021
2472,Mansfield,No,25487.0,9061,35.55,8570,33.62,07/28/2021
2473,Marlborough,No,6335.0,4274,67.47,4076,64.34,07/28/2021
2474,Meriden,Yes,59395.0,35509,59.78,32761,55.16,07/28/2021
2475,Middlebury,No,7798.0,5418,69.48,5151,66.06,07/28/2021
2476,Middlefield,No,4374.0,2923,66.83,2778,63.51,07/28/2021
2477,Middletown,Yes,46258.0,31847,68.85,29686,64.17,07/28/2021
2478,Milford,Yes,54747.0,36180,66.09,34504,63.02,07/28/2021
2479,Monroe,No,19434.0,12964,66.71,12224,62.9,07/28/2021
2480,Montville,Yes,18508.0,10371,56.04,9827,53.1,07/28/2021
2481,Morris,No,2254.0,1402,62.2,1317,58.43,07/28/2021
2482,Naugatuck,No,31108.0,17935,57.65,16562,53.24,07/28/2021
2483,New Britain,Yes,72495.0,35291,48.68,32202,44.42,07/28/2021
2484,New Canaan,No,20233.0,15356,75.9,14099,69.68,07/28/2021
2485,New Fairfield,No,13878.0,8546,61.58,8044,57.96,07/28/2021
2486,New Hartford,No,6656.0,4301,64.62,4096,61.54,07/28/2021
2487,New Haven,Yes,130250.0,71329,54.76,65188,50.05,07/28/2021
2488,New London,Yes,26858.0,14621,54.44,13393,49.87,07/28/2021
2489,New Milford,No,26805.0,18265,68.14,17089,63.75,07/28/2021
2490,Newington,No,30014.0,20941,69.77,19829,66.07,07/28/2021
2491,Newtown,No,27891.0,19217,68.9,18115,64.95,07/28/2021
2492,Norfolk,No,1630.0,1029,63.13,963,59.08,07/28/2021
2493,North Branford,No,14146.0,9886,69.89,9413,66.54,07/28/2021
2494,North Canaan,No,3251.0,1833,56.38,1680,51.68,07/28/2021
2495,North Haven,No,23683.0,18299,77.27,17361,73.31,07/28/2021
2496,North Stonington,No,5196.0,2904,55.89,2799,53.87,07/28/2021
2497,Norwalk,Yes,88816.0,60599,68.23,55288,62.25,07/28/2021
2498,Norwich,Yes,38768.0,21438,55.3,19933,51.42,07/28/2021
2499,Old Lyme,No,7306.0,5419,74.17,5172,70.79,07/28/2021
2500,Old Saybrook,No,10061.0,8274,82.24,7814,77.67,07/28/2021
2501,Orange,Yes,13926.0,9792,70.31,9312,66.87,07/28/2021
2502,Oxford,No,13255.0,8482,63.99,8016,60.48,07/28/2021
2503,Plainfield,Yes,15125.0,7495,49.55,7037,46.53,07/28/2021
2504,Plainville,No,17534.0,10941,62.4,10277,58.61,07/28/2021
2505,Plymouth,No,11598.0,6179,53.28,5802,50.03,07/28/2021
2506,Pomfret,No,4203.0,2575,61.27,2414,57.44,07/28/2021
2507,Portland,No,9267.0,6404,69.11,6063,65.43,07/28/2021
2508,Preston,No,4625.0,2761,59.7,2639,57.06,07/28/2021
2509,Prospect,No,9702.0,6114,63.02,5817,59.96,07/28/2021
2510,Putnam,No,9389.0,4875,51.92,4588,48.87,07/28/2021
2511,Redding,No,9116.0,5911,64.84,5586,61.28,07/28/2021
2512,Resident out of state,,,70417,,57614,,07/28/2021
2513,Ridgefield,No,24959.0,17921,71.8,16968,67.98,07/28/2021
2514,Rocky Hill,No,20115.0,14291,71.05,13538,67.3,07/28/2021
2515,Roxbury,No,2152.0,1627,75.6,1528,71.0,07/28/2021
2516,Salem,No,4083.0,2518,61.67,2389,58.51,07/28/2021
2517,Salisbury,No,3600.0,3167,87.97,2987,82.97,07/28/2021
2518,Scotland,No,1672.0,865,51.73,828,49.52,07/28/2021
2519,Seymour,No,16437.0,10083,61.34,9410,57.25,07/28/2021
2520,Sharon,No,2689.0,1780,66.2,1660,61.73,07/28/2021
2521,Shelton,No,41129.0,26911,65.43,25317,61.56,07/28/2021
2522,Sherman,No,3630.0,2225,61.29,2111,58.15,07/28/2021
2523,Simsbury,No,25395.0,18509,72.88,17587,69.25,07/28/2021
2524,Somers,No,10784.0,6179,57.3,5846,54.21,07/28/2021
2525,South Windsor,No,26162.0,19098,73.0,18144,69.35,07/28/2021
2526,Southbury,No,19571.0,14019,71.63,13304,67.98,07/28/2021
2527,Southington,No,43834.0,29731,67.83,28348,64.67,07/28/2021
2528,Sprague,No,2859.0,1493,52.22,1403,49.07,07/28/2021
2529,Stafford,No,11893.0,6188,52.03,5854,49.22,07/28/2021
2530,Stamford,Yes,129638.0,91831,70.84,82609,63.72,07/28/2021
2531,Sterling,No,3782.0,1593,42.12,1494,39.5,07/28/2021
2532,Stonington,No,18559.0,12546,67.6,11989,64.6,07/28/2021
2533,Stratford,No,51849.0,31311,60.39,29173,56.27,07/28/2021
2534,Suffield,No,15814.0,9906,62.64,9249,58.49,07/28/2021
2535,Thomaston,No,7535.0,4478,59.43,4230,56.14,07/28/2021
2536,Thompson,No,9379.0,4107,43.79,3864,41.2,07/28/2021
2537,Tolland,No,14618.0,9964,68.16,9512,65.07,07/28/2021
2538,Torrington,Yes,34044.0,20815,61.14,19437,57.09,07/28/2021
2539,Trumbull,No,35673.0,25760,72.21,24249,67.98,07/28/2021
2540,Union,No,839.0,496,59.12,473,56.38,07/28/2021
2541,Vernon,Yes,29359.0,19123,65.14,18037,61.44,07/28/2021
2542,Voluntown,No,2510.0,1405,55.98,1336,53.23,07/28/2021
2543,Wallingford,No,44326.0,30809,69.51,29181,65.83,07/28/2021
2544,Warren,No,1395.0,930,66.67,879,63.01,07/28/2021
2545,Washington,No,3428.0,2628,76.66,2450,71.47,07/28/2021
2546,Waterbury,Yes,107568.0,53918,50.12,48305,44.91,07/28/2021
2547,Waterford,Yes,18746.0,13199,70.41,12583,67.12,07/28/2021
2548,Watertown,No,21578.0,13952,64.66,13143,60.91,07/28/2021
2549,West Hartford,Yes,62965.0,48177,76.51,45405,72.11,07/28/2021
2550,West Haven,Yes,54620.0,32278,59.1,29921,54.78,07/28/2021
2551,Westbrook,No,6869.0,4905,71.41,4632,67.43,07/28/2021
2552,Weston,No,10252.0,7507,73.22,7065,68.91,07/28/2021
2553,Westport,No,28491.0,20551,72.13,19259,67.6,07/28/2021
2554,Wethersfield,No,26008.0,19048,73.24,18097,69.58,07/28/2021
2555,Willington,No,5864.0,3340,56.96,3173,54.11,07/28/2021
2556,Wilton,No,18343.0,13868,75.6,13008,70.92,07/28/2021
2557,Winchester,Yes,10604.0,5917,55.8,5494,51.81,07/28/2021
2558,Windham,Yes,24561.0,12428,50.6,11535,46.96,07/28/2021
2559,Windsor,No,28733.0,19501,67.87,18236,63.47,07/28/2021
2560,Windsor Locks,Yes,12854.0,7840,60.99,7376,57.38,07/28/2021
2561,Wolcott,No,16587.0,10180,61.37,9611,57.94,07/28/2021
2562,Woodbridge,No,8750.0,6602,75.45,6319,72.22,07/28/2021
2563,Woodbury,No,9502.0,6413,67.49,6106,64.26,07/28/2021
2564,Woodstock,No,7858.0,4663,59.34,4428,56.35,07/28/2021
2565,Address pending validation,,,16156,,14913,,08/04/2021
2566,Andover,No,3236.0,2080,64.28,1982,61.25,08/04/2021
2567,Ansonia,Yes,18654.0,9985,53.53,9159,49.1,08/04/2021
2568,Ashford,No,4255.0,2559,60.14,2468,58.0,08/04/2021
2569,Avon,No,18276.0,14386,78.72,13650,74.69,08/04/2021
2570,Barkhamsted,No,3606.0,2349,65.14,2238,62.06,08/04/2021
2571,Beacon Falls,No,6222.0,3825,61.48,3625,58.26,08/04/2021
2572,Berlin,No,20436.0,13669,66.89,13053,63.87,08/04/2021
2573,Bethany,No,5548.0,3718,67.02,3548,63.95,08/04/2021
2574,Bethel,No,19800.0,12302,62.13,11437,57.76,08/04/2021
2575,Bethlehem,No,3402.0,2080,61.14,1963,57.7,08/04/2021
2576,Bloomfield,No,21211.0,14473,68.23,13358,62.98,08/04/2021
2577,Bolton,No,4884.0,3259,66.73,3096,63.39,08/04/2021
2578,Bozrah,No,2726.0,1537,56.38,1471,53.96,08/04/2021
2579,Branford,No,27900.0,20098,72.04,19138,68.59,08/04/2021
2580,Bridgeport,Yes,144399.0,73151,50.66,65272,45.2,08/04/2021
2581,Bridgewater,No,1635.0,1211,74.07,1156,70.7,08/04/2021
2582,Bristol,Yes,59947.0,37209,62.07,34659,57.82,08/04/2021
2583,Brookfield,No,16973.0,11714,69.02,11018,64.91,08/04/2021
2584,Brooklyn,No,8272.0,4381,52.96,4099,49.55,08/04/2021
2585,Burlington,No,9704.0,6511,67.1,6207,63.96,08/04/2021
2586,Canaan,No,1053.0,1058,100.0,995,94.49,08/04/2021
2587,Canterbury,No,5079.0,2748,54.11,2591,51.01,08/04/2021
2588,Canton,No,10254.0,7068,68.93,6766,65.98,08/04/2021
2589,Chaplin,No,2239.0,1242,55.47,1173,52.39,08/04/2021
2590,Cheshire,No,28937.0,21044,72.72,20055,69.31,08/04/2021
2591,Chester,No,4213.0,2904,68.93,2772,65.8,08/04/2021
2592,Clinton,No,12925.0,9466,73.24,8941,69.18,08/04/2021
2593,Colchester,No,15809.0,10309,65.21,9758,61.72,08/04/2021
2594,Colebrook,No,1400.0,936,66.86,882,63.0,08/04/2021
2595,Columbia,No,5379.0,3465,64.42,3314,61.61,08/04/2021
2596,Cornwall,No,1362.0,1086,79.74,1026,75.33,08/04/2021
2597,Coventry,No,12407.0,7874,63.46,7523,60.64,08/04/2021
2598,Cromwell,No,13839.0,10309,74.49,9766,70.57,08/04/2021
2599,Danbury,Yes,84694.0,54670,64.55,48960,57.81,08/04/2021
2600,Darien,No,21728.0,16173,74.43,14986,68.97,08/04/2021
2601,Deep River,No,4443.0,3202,72.07,3033,68.26,08/04/2021
2602,Derby,Yes,12339.0,8650,70.1,7625,61.8,08/04/2021
2603,Durham,No,7165.0,5033,70.24,4759,66.42,08/04/2021
2604,East Granby,No,5140.0,3525,68.58,3351,65.19,08/04/2021
2605,East Haddam,No,8997.0,5805,64.52,5197,57.76,08/04/2021
2606,East Hampton,No,12800.0,8234,64.33,7856,61.38,08/04/2021
2607,East Hartford,Yes,49872.0,30580,61.32,27648,55.44,08/04/2021
2608,East Haven,Yes,28569.0,16822,58.88,15723,55.04,08/04/2021
2609,East Lyme,No,18462.0,13223,71.62,12589,68.19,08/04/2021
2610,East Windsor,No,11668.0,6857,58.77,6315,54.12,08/04/2021
2611,Eastford,No,1790.0,987,55.14,934,52.18,08/04/2021
2612,Easton,No,7521.0,5253,69.84,4955,65.88,08/04/2021
2613,Ellington,No,16467.0,10527,63.93,9932,60.31,08/04/2021
2614,Enfield,Yes,43659.0,24491,56.1,22966,52.6,08/04/2021
2615,Essex,No,6668.0,5138,77.05,4879,73.17,08/04/2021
2616,Fairfield,No,62045.0,42388,68.32,39912,64.33,08/04/2021
2617,Farmington,No,25497.0,19846,77.84,18865,73.99,08/04/2021
2618,Franklin,No,1920.0,1190,61.98,1117,58.18,08/04/2021
2619,Glastonbury,No,34482.0,26008,75.42,24691,71.61,08/04/2021
2620,Goshen,No,2863.0,1929,67.38,1820,63.57,08/04/2021
2621,Granby,No,11507.0,7650,66.48,7300,63.44,08/04/2021
2622,Greenwich,No,62840.0,43431,69.11,40295,64.12,08/04/2021
2623,Griswold,Yes,11534.0,5948,51.57,5627,48.79,08/04/2021
2624,Groton,Yes,38436.0,21174,55.09,19979,51.98,08/04/2021
2625,Guilford,No,22133.0,16733,75.6,15995,72.27,08/04/2021
2626,Haddam,No,8193.0,6021,73.49,5692,69.47,08/04/2021
2627,Hamden,No,60556.0,37868,62.53,35673,58.91,08/04/2021
2628,Hampton,No,1842.0,1057,57.38,1001,54.34,08/04/2021
2629,Hartford,Yes,122105.0,57452,47.05,50411,41.28,08/04/2021
2630,Hartland,No,2120.0,1175,55.42,1109,52.31,08/04/2021
2631,Harwinton,No,5420.0,3464,63.91,3306,61.0,08/04/2021
2632,Hebron,No,9504.0,6389,67.22,6091,64.09,08/04/2021
2633,Kent,No,2777.0,2271,81.78,2111,76.02,08/04/2021
2634,Killingly,Yes,17336.0,8813,50.84,8266,47.68,08/04/2021
2635,Killingworth,No,6364.0,4438,69.74,4261,66.95,08/04/2021
2636,Lebanon,No,7144.0,4416,61.81,4218,59.04,08/04/2021
2637,Ledyard,No,14621.0,8956,61.25,8530,58.34,08/04/2021
2638,Lisbon,No,4220.0,2460,58.29,2342,55.5,08/04/2021
2639,Litchfield,No,8094.0,5592,69.09,5207,64.33,08/04/2021
2640,Lyme,No,2316.0,1917,82.77,1841,79.49,08/04/2021
2641,Madison,No,18030.0,13830,76.71,13219,73.32,08/04/2021
2642,Manchester,Yes,57584.0,35971,62.47,33509,58.19,08/04/2021
2643,Mansfield,No,25487.0,9104,35.72,8608,33.77,08/04/2021
2644,Marlborough,No,6335.0,4285,67.64,4091,64.58,08/04/2021
2645,Meriden,Yes,59395.0,35793,60.26,33098,55.73,08/04/2021
2646,Middlebury,No,7798.0,5436,69.71,5176,66.38,08/04/2021
2647,Middlefield,No,4374.0,2940,67.22,2792,63.83,08/04/2021
2648,Middletown,Yes,46258.0,31964,69.1,29828,64.48,08/04/2021
2649,Milford,Yes,54747.0,36355,66.41,34645,63.28,08/04/2021
2650,Monroe,No,19434.0,13041,67.1,12318,63.38,08/04/2021
2651,Montville,Yes,18508.0,10459,56.51,9911,53.55,08/04/2021
2652,Morris,No,2254.0,1408,62.47,1318,58.47,08/04/2021
2653,Naugatuck,No,31108.0,18055,58.04,16694,53.66,08/04/2021
2654,New Britain,Yes,72495.0,35658,49.19,32571,44.93,08/04/2021
2655,New Canaan,No,20233.0,15396,76.09,14164,70.0,08/04/2021
2656,New Fairfield,No,13878.0,8567,61.73,8088,58.28,08/04/2021
2657,New Hartford,No,6656.0,4323,64.95,4117,61.85,08/04/2021
2658,New Haven,Yes,130250.0,72027,55.3,65856,50.56,08/04/2021
2659,New London,Yes,26858.0,14744,54.9,13523,50.35,08/04/2021
2660,New Milford,No,26805.0,18342,68.43,17183,64.1,08/04/2021
2661,Newington,No,30014.0,21028,70.06,19955,66.49,08/04/2021
2662,Newtown,No,27891.0,19311,69.24,18197,65.24,08/04/2021
2663,Norfolk,No,1630.0,1033,63.37,972,59.63,08/04/2021
2664,North Branford,No,14146.0,9937,70.25,9463,66.9,08/04/2021
2665,North Canaan,No,3251.0,1837,56.51,1688,51.92,08/04/2021
2666,North Haven,No,23683.0,18384,77.63,17429,73.59,08/04/2021
2667,North Stonington,No,5196.0,2912,56.04,2803,53.95,08/04/2021
2668,Norwalk,Yes,88816.0,60956,68.63,55757,62.78,08/04/2021
2669,Norwich,Yes,38768.0,21624,55.78,20110,51.87,08/04/2021
2670,Old Lyme,No,7306.0,5442,74.49,5196,71.12,08/04/2021
2671,Old Saybrook,No,10061.0,8293,82.43,7842,77.94,08/04/2021
2672,Orange,Yes,13926.0,9838,70.64,9352,67.15,08/04/2021
2673,Oxford,No,13255.0,8511,64.21,8053,60.75,08/04/2021
2674,Plainfield,Yes,15125.0,7560,49.98,7096,46.92,08/04/2021
2675,Plainville,No,17534.0,11006,62.77,10337,58.95,08/04/2021
2676,Plymouth,No,11598.0,6204,53.49,5829,50.26,08/04/2021
2677,Pomfret,No,4203.0,2588,61.58,2428,57.77,08/04/2021
2678,Portland,No,9267.0,6433,69.42,6088,65.7,08/04/2021
2679,Preston,No,4625.0,2776,60.02,2655,57.41,08/04/2021
2680,Prospect,No,9702.0,6144,63.33,5838,60.17,08/04/2021
2681,Putnam,No,9389.0,4907,52.26,4622,49.23,08/04/2021
2682,Redding,No,9116.0,5930,65.05,5616,61.61,08/04/2021
2683,Resident out of state,,,71018,,58098,,08/04/2021
2684,Ridgefield,No,24959.0,17944,71.89,16999,68.11,08/04/2021
2685,Rocky Hill,No,20115.0,14341,71.3,13595,67.59,08/04/2021
2686,Roxbury,No,2152.0,1635,75.98,1537,71.42,08/04/2021
2687,Salem,No,4083.0,2545,62.33,2406,58.93,08/04/2021
2688,Salisbury,No,3600.0,3170,88.06,2993,83.14,08/04/2021
2689,Scotland,No,1672.0,869,51.97,831,49.7,08/04/2021
2690,Seymour,No,16437.0,10158,61.8,9470,57.61,08/04/2021
2691,Sharon,No,2689.0,1783,66.31,1665,61.92,08/04/2021
2692,Shelton,No,41129.0,27056,65.78,25475,61.94,08/04/2021
2693,Sherman,No,3630.0,2226,61.32,2109,58.1,08/04/2021
2694,Simsbury,No,25395.0,18566,73.11,17647,69.49,08/04/2021
2695,Somers,No,10784.0,6200,57.49,5866,54.4,08/04/2021
2696,South Windsor,No,26162.0,19161,73.24,18222,69.65,08/04/2021
2697,Southbury,No,19571.0,14047,71.77,13335,68.14,08/04/2021
2698,Southington,No,43834.0,29865,68.13,28507,65.03,08/04/2021
2699,Sprague,No,2859.0,1505,52.64,1417,49.56,08/04/2021
2700,Stafford,No,11893.0,6216,52.27,5877,49.42,08/04/2021
2701,Stamford,Yes,129638.0,92435,71.3,83276,64.24,08/04/2021
2702,Sterling,No,3782.0,1608,42.52,1503,39.74,08/04/2021
2703,Stonington,No,18559.0,12580,67.78,12027,64.8,08/04/2021
2704,Stratford,No,51849.0,31519,60.79,29416,56.73,08/04/2021
2705,Suffield,No,15814.0,9938,62.84,9274,58.64,08/04/2021
2706,Thomaston,No,7535.0,4493,59.63,4247,56.36,08/04/2021
2707,Thompson,No,9379.0,4133,44.07,3877,41.34,08/04/2021
2708,Tolland,No,14618.0,9997,68.39,9553,65.35,08/04/2021
2709,Torrington,Yes,34044.0,20955,61.55,19579,57.51,08/04/2021
2710,Trumbull,No,35673.0,25894,72.59,24389,68.37,08/04/2021
2711,Union,No,839.0,498,59.36,475,56.62,08/04/2021
2712,Vernon,Yes,29359.0,19225,65.48,18122,61.73,08/04/2021
2713,Voluntown,No,2510.0,1408,56.1,1347,53.67,08/04/2021
2714,Wallingford,No,44326.0,30935,69.79,29361,66.24,08/04/2021
2715,Warren,No,1395.0,934,66.95,885,63.44,08/04/2021
2716,Washington,No,3428.0,2637,76.93,2464,71.88,08/04/2021
2717,Waterbury,Yes,107568.0,54525,50.69,48953,45.51,08/04/2021
2718,Waterford,Yes,18746.0,13240,70.63,12625,67.35,08/04/2021
2719,Watertown,No,21578.0,14031,65.02,13219,61.26,08/04/2021
2720,West Hartford,Yes,62965.0,48282,76.68,45594,72.41,08/04/2021
2721,West Haven,Yes,54620.0,32546,59.59,30238,55.36,08/04/2021
2722,Westbrook,No,6869.0,4913,71.52,4659,67.83,08/04/2021
2723,Weston,No,10252.0,7521,73.36,7093,69.19,08/04/2021
2724,Westport,No,28491.0,20587,72.26,19314,67.79,08/04/2021
2725,Wethersfield,No,26008.0,19140,73.59,18207,70.01,08/04/2021
2726,Willington,No,5864.0,3357,57.25,3192,54.43,08/04/2021
2727,Wilton,No,18343.0,13920,75.89,13073,71.27,08/04/2021
2728,Winchester,Yes,10604.0,5953,56.14,5531,52.16,08/04/2021
2729,Windham,Yes,24561.0,12570,51.18,11657,47.46,08/04/2021
2730,Windsor,No,28733.0,19626,68.3,18356,63.88,08/04/2021
2731,Windsor Locks,Yes,12854.0,7883,61.33,7421,57.73,08/04/2021
2732,Wolcott,No,16587.0,10239,61.73,9663,58.26,08/04/2021
2733,Woodbridge,No,8750.0,6636,75.84,6337,72.42,08/04/2021
2734,Woodbury,No,9502.0,6432,67.69,6135,64.57,08/04/2021
2735,Woodstock,No,7858.0,4689,59.67,4450,56.63,08/04/2021
2736,Address pending validation,,,16233,,14920,,08/12/2021
2737,Andover,No,3236.0,2105,65.05,2003,61.9,08/12/2021
2738,Ansonia,Yes,18654.0,10245,54.92,9239,49.53,08/12/2021
2739,Ashford,No,4255.0,2601,61.13,2488,58.47,08/12/2021
2740,Avon,No,18276.0,14510,79.39,13721,75.08,08/12/2021
2741,Barkhamsted,No,3606.0,2375,65.86,2256,62.56,08/12/2021
2742,Beacon Falls,No,6222.0,3865,62.12,3646,58.6,08/12/2021
2743,Berlin,No,20436.0,13803,67.54,13140,64.3,08/12/2021
2744,Bethany,No,5548.0,3753,67.65,3571,64.37,08/12/2021
2745,Bethel,No,19800.0,12494,63.1,11521,58.19,08/12/2021
2746,Bethlehem,No,3402.0,2104,61.85,1972,57.97,08/12/2021
2747,Bloomfield,No,21211.0,14744,69.51,13469,63.5,08/12/2021
2748,Bolton,No,4884.0,3288,67.32,3122,63.92,08/12/2021
2749,Bozrah,No,2726.0,1556,57.08,1483,54.4,08/12/2021
2750,Branford,No,27900.0,20314,72.81,19220,68.89,08/12/2021
2751,Bridgeport,Yes,144399.0,75569,52.33,66239,45.87,08/12/2021
2752,Bridgewater,No,1635.0,1219,74.56,1160,70.95,08/12/2021
2753,Bristol,Yes,59947.0,38028,63.44,35011,58.4,08/12/2021
2754,Brookfield,No,16973.0,11908,70.16,11118,65.5,08/12/2021
2755,Brooklyn,No,8272.0,4481,54.17,4144,50.1,08/12/2021
2756,Burlington,No,9704.0,6579,67.8,6243,64.33,08/12/2021
2757,Canaan,No,1053.0,1073,100.0,1004,95.35,08/12/2021
2758,Canterbury,No,5079.0,2790,54.93,2619,51.57,08/12/2021
2759,Canton,No,10254.0,7147,69.7,6811,66.42,08/12/2021
2760,Chaplin,No,2239.0,1267,56.59,1179,52.66,08/12/2021
2761,Cheshire,No,28937.0,21216,73.32,20155,69.65,08/12/2021
2762,Chester,No,4213.0,2938,69.74,2786,66.13,08/12/2021
2763,Clinton,No,12925.0,9583,74.14,8999,69.62,08/12/2021
2764,Colchester,No,15809.0,10466,66.2,9841,62.25,08/12/2021
2765,Colebrook,No,1400.0,951,67.93,886,63.29,08/12/2021
2766,Columbia,No,5379.0,3508,65.22,3337,62.04,08/12/2021
2767,Cornwall,No,1362.0,1091,80.1,1031,75.7,08/12/2021
2768,Coventry,No,12407.0,7972,64.25,7575,61.05,08/12/2021
2769,Cromwell,No,13839.0,10423,75.32,9843,71.13,08/12/2021
2770,Danbury,Yes,84694.0,56210,66.37,49643,58.61,08/12/2021
2771,Darien,No,21728.0,16327,75.14,15071,69.36,08/12/2021
2772,Deep River,No,4443.0,3238,72.88,3049,68.62,08/12/2021
2773,Derby,Yes,12339.0,8879,71.96,7728,62.63,08/12/2021
2774,Durham,No,7165.0,5088,71.01,4803,67.03,08/12/2021
2775,East Granby,No,5140.0,3561,69.28,3378,65.72,08/12/2021
2776,East Haddam,No,8997.0,5886,65.42,5235,58.19,08/12/2021
2777,East Hampton,No,12800.0,8351,65.24,7913,61.82,08/12/2021
2778,East Hartford,Yes,49872.0,31267,62.69,27934,56.01,08/12/2021
2779,East Haven,Yes,28569.0,17168,60.09,15864,55.53,08/12/2021
2780,East Lyme,No,18462.0,13377,72.46,12647,68.5,08/12/2021
2781,East Windsor,No,11668.0,6976,59.79,6353,54.45,08/12/2021
2782,Eastford,No,1790.0,999,55.81,941,52.57,08/12/2021
2783,Easton,No,7521.0,5303,70.51,4992,66.37,08/12/2021
2784,Ellington,No,16467.0,10658,64.72,9990,60.67,08/12/2021
2785,Enfield,Yes,43659.0,24871,56.97,23122,52.96,08/12/2021
2786,Essex,No,6668.0,5176,77.62,4899,73.47,08/12/2021
2787,Fairfield,No,62045.0,42785,68.96,40122,64.67,08/12/2021
2788,Farmington,No,25497.0,20042,78.61,18944,74.3,08/12/2021
2789,Franklin,No,1920.0,1200,62.5,1123,58.49,08/12/2021
2790,Glastonbury,No,34482.0,26223,76.05,24814,71.96,08/12/2021
2791,Goshen,No,2863.0,1955,68.29,1829,63.88,08/12/2021
2792,Granby,No,11507.0,7706,66.97,7339,63.78,08/12/2021
2793,Greenwich,No,62840.0,43806,69.71,40493,64.44,08/12/2021
2794,Griswold,Yes,11534.0,6039,52.36,5668,49.14,08/12/2021
2795,Groton,Yes,38436.0,21496,55.93,20140,52.4,08/12/2021
2796,Guilford,No,22133.0,16859,76.17,16049,72.51,08/12/2021
2797,Haddam,No,8193.0,6082,74.23,5721,69.83,08/12/2021
2798,Hamden,No,60556.0,38462,63.51,35936,59.34,08/12/2021
2799,Hampton,No,1842.0,1074,58.31,1008,54.72,08/12/2021
2800,Hartford,Yes,122105.0,59299,48.56,51155,41.89,08/12/2021
2801,Hartland,No,2120.0,1197,56.46,1118,52.74,08/12/2021
2802,Harwinton,No,5420.0,3511,64.78,3315,61.16,08/12/2021
2803,Hebron,No,9504.0,6460,67.97,6144,64.65,08/12/2021
2804,Kent,No,2777.0,2288,82.39,2115,76.16,08/12/2021
2805,Killingly,Yes,17336.0,8978,51.79,8357,48.21,08/12/2021
2806,Killingworth,No,6364.0,4476,70.33,4274,67.16,08/12/2021
2807,Lebanon,No,7144.0,4479,62.7,4253,59.53,08/12/2021
2808,Ledyard,No,14621.0,9065,62.0,8589,58.74,08/12/2021
2809,Lisbon,No,4220.0,2495,59.12,2361,55.95,08/12/2021
2810,Litchfield,No,8094.0,5645,69.74,5241,64.75,08/12/2021
2811,Lyme,No,2316.0,1926,83.16,1848,79.79,08/12/2021
2812,Madison,No,18030.0,13947,77.35,13265,73.57,08/12/2021
2813,Manchester,Yes,57584.0,36563,63.5,33757,58.62,08/12/2021
2814,Mansfield,No,25487.0,9182,36.03,8652,33.95,08/12/2021
2815,Marlborough,No,6335.0,4340,68.51,4127,65.15,08/12/2021
2816,Meriden,Yes,59395.0,36620,61.66,33466,56.34,08/12/2021
2817,Middlebury,No,7798.0,5497,70.49,5206,66.76,08/12/2021
2818,Middlefield,No,4374.0,2974,67.99,2814,64.33,08/12/2021
2819,Middletown,Yes,46258.0,32457,70.17,30101,65.07,08/12/2021
2820,Milford,Yes,54747.0,36750,67.13,34838,63.63,08/12/2021
2821,Monroe,No,19434.0,13246,68.16,12402,63.82,08/12/2021
2822,Montville,Yes,18508.0,10626,57.41,9976,53.9,08/12/2021
2823,Morris,No,2254.0,1426,63.27,1327,58.87,08/12/2021
2824,Naugatuck,No,31108.0,18401,59.15,16853,54.18,08/12/2021
2825,New Britain,Yes,72495.0,36595,50.48,32994,45.51,08/12/2021
2826,New Canaan,No,20233.0,15505,76.63,14222,70.29,08/12/2021
2827,New Fairfield,No,13878.0,8786,63.31,8169,58.86,08/12/2021
2828,New Hartford,No,6656.0,4365,65.58,4139,62.18,08/12/2021
2829,New Haven,Yes,130250.0,73811,56.67,66676,51.19,08/12/2021
2830,New London,Yes,26858.0,15071,56.11,13674,50.91,08/12/2021
2831,New Milford,No,26805.0,18624,69.48,17353,64.74,08/12/2021
2832,Newington,No,30014.0,21264,70.85,20082,66.91,08/12/2021
2833,Newtown,No,27891.0,19506,69.94,18300,65.61,08/12/2021
2834,Norfolk,No,1630.0,1045,64.11,982,60.25,08/12/2021
2835,North Branford,No,14146.0,10050,71.04,9515,67.26,08/12/2021
2836,North Canaan,No,3251.0,1841,56.63,1697,52.2,08/12/2021
2837,North Haven,No,23683.0,18601,78.54,17560,74.15,08/12/2021
2838,North Stonington,No,5196.0,2951,56.79,2819,54.25,08/12/2021
2839,Norwalk,Yes,88816.0,62144,69.97,56280,63.37,08/12/2021
2840,Norwich,Yes,38768.0,22041,56.85,20295,52.35,08/12/2021
2841,Old Lyme,No,7306.0,5485,75.08,5216,71.39,08/12/2021
