,RPT_Date,Jurisdictions,Cases,DoD_Cases,DoD_Cases_7dy,DoD_Cases_7dy_ave
300,23SEP2021,,250.0,17.0,-38.0,-5.428571429
301,24SEP2021,,259.0,9.0,-25.0,-3.571428571
302,25SEP2021,,243.0,-16.0,-51.0,-7.285714286
303,26SEP2021,,243.0,0.0,-52.0,-7.428571429
304,27SEP2021,,246.0,3.0,7.0,1.0
305,28SEP2021,,251.0,5.0,20.0,2.8571428571
306,29SEP2021,,265.0,14.0,32.0,4.5714285714
307,30SEP2021,,257.0,-8.0,7.0,1.0
308,01OCT2021,,261.0,4.0,2.0,0.2857142857
309,02OCT2021,,244.0,-17.0,1.0,0.14285714289999998
310,03OCT2021,,263.0,19.0,20.0,2.8571428571
311,04OCT2021,,267.0,4.0,21.0,3.0
312,05OCT2021,,269.0,2.0,18.0,2.5714285714
313,06OCT2021,,285.0,16.0,20.0,2.8571428571
314,07OCT2021,,279.0,-6.0,22.0,3.1428571429
315,08OCT2021,,264.0,-15.0,3.0,0.42857142859999997
316,09OCT2021,,273.0,9.0,29.0,4.1428571429000005
317,10OCT2021,,260.0,-13.0,-3.0,-0.428571429
318,11OCT2021,,258.0,-2.0,-9.0,-1.285714286
319,12OCT2021,,258.0,0.0,-11.0,-1.571428571
320,13OCT2021,,233.0,-25.0,-52.0,-7.428571429
321,14OCT2021,,200.0,-33.0,-79.0,-11.28571429
322,15OCT2021,,201.0,1.0,-63.0,-9.0
323,16OCT2021,,226.0,25.0,-47.0,-6.714285714
324,17OCT2021,,192.0,-34.0,-68.0,-9.714285713999999
325,18OCT2021,,201.0,9.0,-57.0,-8.142857142999999
326,19OCT2021,,200.0,-1.0,-58.0,-8.285714286000001
327,20OCT2021,,195.0,-5.0,-38.0,-5.428571429
328,21OCT2021,,190.0,-5.0,-10.0,-1.428571429
329,22OCT2021,,191.0,1.0,-10.0,-1.428571429
330,23OCT2021,,191.0,0.0,-35.0,-5.0
331,24OCT2021,,170.0,-21.0,-22.0,-3.142857143
332,25OCT2021,,173.0,3.0,-28.0,-4.0
333,26OCT2021,,125.0,-48.0,-75.0,-10.71428571
334,27OCT2021,,112.0,-13.0,-83.0,-11.85714286
335,28OCT2021,,105.0,-7.0,-85.0,-12.14285714
336,29OCT2021,,80.0,-25.0,-111.0,-15.85714286
337,30OCT2021,,85.0,5.0,-106.0,-15.14285714
338,31OCT2021,,87.0,2.0,-83.0,-11.85714286
339,01NOV2021,,87.0,0.0,-86.0,-12.28571429
340,02NOV2021,,86.0,-1.0,-39.0,-5.571428571
341,03NOV2021,,84.0,-2.0,-28.0,-4.0
342,04NOV2021,,84.0,0.0,-21.0,-3.0
343,05NOV2021,,81.0,-3.0,1.0,0.14285714289999998
344,06NOV2021,,81.0,0.0,-4.0,-0.571428571
345,07NOV2021,,77.0,-4.0,-10.0,-1.428571429
346,08NOV2021,,80.0,3.0,-7.0,-1.0
347,09NOV2021,,80.0,0.0,-6.0,-0.857142857
348,10NOV2021,,80.0,0.0,-4.0,-0.571428571
349,11NOV2021,,81.0,1.0,-3.0,-0.428571429
350,12NOV2021,,81.0,0.0,0.0,0.0
351,13NOV2021,,78.0,-3.0,-3.0,-0.428571429
352,14NOV2021,,80.0,2.0,3.0,0.42857142859999997
353,15NOV2021,,79.0,-1.0,-1.0,-0.14285714300000002
354,16NOV2021,,76.0,-3.0,-4.0,-0.571428571
355,17NOV2021,,91.0,15.0,11.0,1.5714285713999998
356,18NOV2021,,86.0,-5.0,5.0,0.7142857143000001
357,19NOV2021,,88.0,2.0,7.0,1.0
358,20NOV2021,,81.0,-7.0,3.0,0.42857142859999997
359,21NOV2021,,82.0,1.0,2.0,0.2857142857
360,22NOV2021,,82.0,0.0,3.0,0.42857142859999997
361,23NOV2021,,83.0,1.0,7.0,1.0
362,24NOV2021,,61.0,-22.0,-30.0,-4.285714286
363,25NOV2021,,61.0,0.0,-25.0,-3.571428571
364,26NOV2021,,61.0,0.0,-27.0,-3.857142857
365,27NOV2021,,77.0,16.0,-4.0,-0.571428571
366,28NOV2021,,72.0,-5.0,-10.0,-1.428571429
367,29NOV2021,,68.0,-4.0,-14.0,-2.0
368,30NOV2021,,68.0,0.0,-15.0,-2.142857143
369,01DEC2021,,68.0,0.0,7.0,1.0
370,02DEC2021,,69.0,1.0,8.0,1.1428571429
371,03DEC2021,,70.0,1.0,9.0,1.2857142857
372,04DEC2021,,76.0,6.0,-1.0,-0.14285714300000002
373,05DEC2021,,79.0,3.0,7.0,1.0
374,06DEC2021,,80.0,1.0,12.0,1.7142857143
375,07DEC2021,,122.71,42.7,54.71,7.8163265306
376,08DEC2021,,165.43,42.7,97.43,13.918367347
377,09DEC2021,,208.14,42.7,139.1,19.87755102
378,10DEC2021,,250.86,42.7,180.9,25.836734694
379,11DEC2021,,293.57,42.7,217.6,31.081632653000003
380,12DEC2021,,336.29,42.7,257.3,36.755102041
381,13DEC2021,,379.0,42.7,299.0,42.714285714
382,14DEC2021,,415.5,36.5,292.8,41.826530612
383,15DEC2021,,452.0,36.5,286.6,40.93877551
384,16DEC2021,,488.5,36.5,280.4,40.051020408
385,17DEC2021,,525.0,36.5,274.1,39.163265306
386,18DEC2021,,567.0,42.0,273.4,39.06122449
387,19DEC2021,,613.0,46.0,276.7,39.530612245
388,20DEC2021,,654.0,41.0,275.0,39.285714286
389,21DEC2021,,679.0,25.0,263.5,37.642857143
390,22DEC2021,,743.0,64.0,291.0,41.571428571
391,23DEC2021,,1339.0,596.0,850.5,121.5
392,24DEC2021,,832.0,-507.0,307.0,43.857142857
393,25DEC2021,,898.0,66.0,331.0,47.285714286
394,26DEC2021,,898.0,0.0,285.0,40.714285714
395,27DEC2021,,928.0,30.0,274.0,39.142857143
396,28DEC2021,,973.0,45.0,294.0,42.0
397,29DEC2021,,1006.0,33.0,263.0,37.571428571
398,30DEC2021,,68.0,-938.0,-1271.0,-181.5714286
399,31DEC2021,,72.0,4.0,-760.0,-108.57142859999999
400,01JAN2022,,78.0,6.0,-820.0,-117.1428571
401,02JAN2022,,78.0,0.0,-820.0,-117.1428571
402,03JAN2022,,77.0,-1.0,-851.0,-121.57142859999999
403,04JAN2022,,79.0,2.0,-894.0,-127.7142857
404,05JAN2022,,83.0,4.0,-923.0,-131.8571429
405,06JAN2022,,78.0,-5.0,10.0,1.4285714286000002
406,07JAN2022,,85.0,7.0,13.0,1.8571428571000002
407,08JAN2022,,90.0,5.0,12.0,1.7142857143
408,09JAN2022,,84.0,-6.0,6.0,0.8571428570999999
409,10JAN2022,,81.0,-3.0,4.0,0.5714285714
410,06MAR2020,ALL OK Counties,1.0,1.0,1.0,
411,07MAR2020,ALL OK Counties,1.0,0.0,1.0,
412,08MAR2020,ALL OK Counties,1.0,0.0,1.0,
413,09MAR2020,ALL OK Counties,1.0,0.0,1.0,
