Jurisdiction,Week of Allocations,1st Dose Allocations,2nd Dose Allocations
Mariana Islands,05/03/2021,0,0
Palau,05/03/2021,0,0
Alaska,05/03/2021,"18,720","18,720"
Idaho,05/03/2021,"24,570","24,570"
Oregon,05/03/2021,"62,010","62,010"
Washington,05/03/2021,"109,980","109,980"
Federal Entities,05/03/2021,"218,790","218,790"
Connecticut,04/26/2021,"54,990","54,990"
Maine,04/26/2021,"21,060","21,060"
Massachusetts,04/26/2021,"105,300","105,300"
New Hampshire,04/26/2021,"21,060","21,060"
Rhode Island,04/26/2021,"16,380","16,380"
Vermont,04/26/2021,"10,530","10,530"
New Jersey,04/26/2021,"132,210","132,210"
New York,04/26/2021,"168,480","168,480"
New York City,04/26/2021,"128,700","128,700"
Puerto Rico,04/26/2021,"52,650","52,650"
U.S. Virgin Islands,04/26/2021,"2,340","2,340"
Delaware,04/26/2021,"15,210","15,210"
District of Columbia,04/26/2021,"11,700","11,700"
Maryland,04/26/2021,"90,090","90,090"
Pennsylvania,04/26/2021,"170,820","170,820"
Philadelphia,04/26/2021,"24,570","24,570"
Virginia,04/26/2021,"126,360","126,360"
West Virginia,04/26/2021,"28,080","28,080"
Alabama,04/26/2021,"72,540","72,540"
Florida,04/26/2021,"314,730","314,730"
Georgia,04/26/2021,"149,760","149,760"
Kentucky,04/26/2021,"66,690","66,690"
Mississippi,04/26/2021,"44,460","44,460"
North Carolina,04/26/2021,"150,930","150,930"
South Carolina,04/26/2021,"74,880","74,880"
Tennessee,04/26/2021,"99,450","99,450"
Chicago,04/26/2021,"40,950","40,950"
Illinois,04/26/2021,"149,760","149,760"
Indiana,04/26/2021,"97,110","97,110"
Michigan,04/26/2021,"148,590","148,590"
Minnesota,04/26/2021,"81,900","81,900"
Ohio,04/26/2021,"173,160","173,160"
Wisconsin,04/26/2021,"86,580","86,580"
Arkansas,04/26/2021,"44,460","44,460"
Louisiana,04/26/2021,"69,030","69,030"
New Mexico,04/26/2021,"31,590","31,590"
Oklahoma,04/26/2021,"57,330","57,330"
Texas,04/26/2021,"394,290","394,290"
Iowa,04/26/2021,"46,800","46,800"
Kansas,04/26/2021,"42,120","42,120"
Missouri,04/26/2021,"90,090","90,090"
Nebraska,04/26/2021,"28,080","28,080"
Colorado,04/26/2021,"81,900","81,900"
Montana,04/26/2021,"16,380","16,380"
North Dakota,04/26/2021,"11,700","11,700"
South Dakota,04/26/2021,"12,870","12,870"
Utah,04/26/2021,"40,950","40,950"
Wyoming,04/26/2021,"9,360","9,360"
Arizona,04/26/2021,"102,960","102,960"
California,04/26/2021,"575,640","575,640"
Hawaii,04/26/2021,"22,230","22,230"
Nevada,04/26/2021,"43,290","43,290"
American Samoa,04/26/2021,0,0
Guam,04/26/2021,0,0
Marshall Islands,04/26/2021,0,0
Micronesia,04/26/2021,0,0
Mariana Islands,04/26/2021,0,0
Palau,04/26/2021,0,0
Alaska,04/26/2021,0,0
Idaho,04/26/2021,"24,570","24,570"
Oregon,04/26/2021,"62,010","62,010"
Washington,04/26/2021,"109,980","109,980"
Federal Entities,04/26/2021,"218,790","218,790"
Connecticut,04/19/2021,"54,990","54,990"
Maine,04/19/2021,"21,060","21,060"
Massachusetts,04/19/2021,"105,300","105,300"
New Hampshire,04/19/2021,"21,060","21,060"
Rhode Island,04/19/2021,"16,380","16,380"
Vermont,04/19/2021,"10,530","10,530"
New Jersey,04/19/2021,"132,210","132,210"
New York,04/19/2021,"168,480","168,480"
New York City,04/19/2021,"128,700","128,700"
Puerto Rico,04/19/2021,"52,650","52,650"
U.S. Virgin Islands,04/19/2021,"2,340","2,340"
Delaware,04/19/2021,"15,210","15,210"
District of Columbia,04/19/2021,"11,700","11,700"
Maryland,04/19/2021,"90,090","90,090"
Pennsylvania,04/19/2021,"170,820","170,820"
Philadelphia,04/19/2021,"24,570","24,570"
Virginia,04/19/2021,"126,360","126,360"
West Virginia,04/19/2021,"28,080","28,080"
Alabama,04/19/2021,"72,540","72,540"
Florida,04/19/2021,"314,730","314,730"
Georgia,04/19/2021,"149,760","149,760"
Kentucky,04/19/2021,"66,690","66,690"
Mississippi,04/19/2021,"44,460","44,460"
North Carolina,04/19/2021,"150,930","150,930"
South Carolina,04/19/2021,"74,880","74,880"
Tennessee,04/19/2021,"99,450","99,450"
Chicago,04/19/2021,"40,950","40,950"
Illinois,04/19/2021,"149,760","149,760"
Indiana,04/19/2021,"97,110","97,110"
Michigan,04/19/2021,"148,590","148,590"
Minnesota,04/19/2021,"81,900","81,900"
Ohio,04/19/2021,"173,160","173,160"
Wisconsin,04/19/2021,"86,580","86,580"
Arkansas,04/19/2021,"44,460","44,460"
Louisiana,04/19/2021,"69,030","69,030"
New Mexico,04/19/2021,"31,590","31,590"
Oklahoma,04/19/2021,"57,330","57,330"
Texas,04/19/2021,"394,290","394,290"
Iowa,04/19/2021,"46,800","46,800"
Kansas,04/19/2021,"42,120","42,120"
Missouri,04/19/2021,"90,090","90,090"
Nebraska,04/19/2021,"28,080","28,080"
Colorado,04/19/2021,"81,900","81,900"
Montana,04/19/2021,"16,380","16,380"
North Dakota,04/19/2021,"11,700","11,700"
South Dakota,04/19/2021,"12,870","12,870"
Utah,04/19/2021,"40,950","40,950"
Wyoming,04/19/2021,"9,360","9,360"
Arizona,04/19/2021,"102,960","102,960"
California,04/19/2021,"575,640","575,640"
Hawaii,04/19/2021,"22,230","22,230"
Nevada,04/19/2021,"43,290","43,290"
American Samoa,04/19/2021,0,0
Guam,04/19/2021,0,0
Marshall Islands,04/19/2021,0,0
Micronesia,04/19/2021,0,0
Mariana Islands,04/19/2021,0,0
Palau,04/19/2021,0,0
Alaska,04/19/2021,0,0
