,County,state_of_residence,# with >= 1 dose COVID vaccine Age 05-11,# with >= 1 dose COVID vaccine Age 12-18,# with >= 1 dose COVID vaccine Age 19-29,# with >= 1 dose COVID vaccine Age 30-39,# with >= 1 dose COVID vaccine Age 40-49,# with >= 1 dose COVID vaccine Age 50-59,# with >= 1 dose COVID vaccine Age 60-69,# with >= 1 dose COVID vaccine Age 70-79,# with >= 1 dose COVID vaccine Age 80 and over,# primary series complete Age 05-11,# primary series complete Age 12-18,# primary series complete Age 19-29,# primary series complete Age 30-39,# primary series complete Age 40-49,# primary series complete Age 50-59,# primary series complete Age 60-69,# primary series complete Age 70-79,# primary series complete Age 80 and over
59,OUTOFSTATE-UNKNOWN,KY,,1.0,12.0,8.0,5.0,6.0,4.0,1.0,,,,9.0,4.0,2.0,3.0,3.0,1.0,
60,OUTOFSTATE-UNKNOWN,LA,2.0,1.0,15.0,28.0,24.0,19.0,7.0,2.0,,,1.0,12.0,14.0,8.0,10.0,3.0,2.0,
61,OUTOFSTATE-UNKNOWN,MA,,3.0,14.0,13.0,4.0,12.0,3.0,2.0,,,1.0,7.0,8.0,2.0,9.0,1.0,2.0,
62,OUTOFSTATE-UNKNOWN,MB,5.0,20.0,495.0,409.0,371.0,407.0,213.0,29.0,2.0,,13.0,231.0,238.0,241.0,243.0,87.0,14.0,2.0
63,OUTOFSTATE-UNKNOWN,MD,,1.0,13.0,10.0,6.0,7.0,3.0,5.0,1.0,,1.0,7.0,6.0,3.0,3.0,3.0,4.0,
64,OUTOFSTATE-UNKNOWN,ME,,1.0,4.0,2.0,3.0,3.0,2.0,1.0,,,,5.0,2.0,,1.0,1.0,1.0,
65,OUTOFSTATE-UNKNOWN,MI,,14.0,42.0,26.0,11.0,16.0,15.0,5.0,,,10.0,26.0,17.0,5.0,11.0,6.0,3.0,
66,OUTOFSTATE-UNKNOWN,MN,2096.0,5497.0,9109.0,8097.0,7784.0,9125.0,11164.0,7142.0,4248.0,1024.0,4795.0,7776.0,6846.0,6494.0,7516.0,8794.0,5228.0,3175.0
67,OUTOFSTATE-UNKNOWN,MO,,2.0,36.0,12.0,10.0,21.0,16.0,6.0,,,2.0,24.0,8.0,3.0,15.0,11.0,4.0,
68,OUTOFSTATE-UNKNOWN,MS,,2.0,9.0,15.0,8.0,16.0,7.0,2.0,1.0,,2.0,4.0,6.0,7.0,14.0,5.0,,1.0
69,OUTOFSTATE-UNKNOWN,MT,5.0,69.0,174.0,102.0,118.0,131.0,168.0,87.0,47.0,3.0,37.0,146.0,74.0,86.0,102.0,136.0,75.0,42.0
70,OUTOFSTATE-UNKNOWN,NC,,7.0,32.0,22.0,12.0,21.0,9.0,8.0,7.0,,4.0,22.0,13.0,10.0,15.0,5.0,5.0,6.0
71,OUTOFSTATE-UNKNOWN,ND,14.0,2.0,5.0,2.0,3.0,4.0,17.0,1.0,1.0,8.0,1.0,2.0,1.0,2.0,3.0,15.0,1.0,
72,OUTOFSTATE-UNKNOWN,NE,1.0,12.0,27.0,19.0,16.0,21.0,13.0,9.0,2.0,,6.0,23.0,10.0,13.0,15.0,11.0,6.0,1.0
73,OUTOFSTATE-UNKNOWN,NH,,2.0,8.0,3.0,3.0,1.0,,1.0,,,1.0,7.0,2.0,3.0,1.0,,,
74,OUTOFSTATE-UNKNOWN,NJ,,3.0,11.0,5.0,4.0,5.0,2.0,,,,2.0,5.0,4.0,4.0,4.0,2.0,,
75,OUTOFSTATE-UNKNOWN,NM,1.0,3.0,10.0,16.0,5.0,10.0,11.0,2.0,1.0,,,6.0,11.0,,5.0,5.0,1.0,1.0
76,OUTOFSTATE-UNKNOWN,NV,,10.0,28.0,25.0,13.0,22.0,24.0,9.0,1.0,,5.0,18.0,16.0,5.0,13.0,14.0,5.0,
77,OUTOFSTATE-UNKNOWN,NY,,4.0,35.0,32.0,24.0,17.0,12.0,2.0,3.0,,2.0,29.0,19.0,13.0,10.0,4.0,2.0,2.0
