,County,dose_date,Janssen,Moderna,Pfizer12+,Pfizer5-11,Total Doses Administered
142,ADAMS,2021-08-26,0.0,0.0,6.0,0.0,6.0
143,ADAMS,2021-08-27,0.0,1.0,0.0,0.0,1.0
144,ADAMS,2021-08-30,0.0,0.0,1.0,0.0,1.0
145,ADAMS,2021-08-31,0.0,0.0,3.0,0.0,3.0
146,ADAMS,2021-09-01,0.0,13.0,3.0,0.0,16.0
147,ADAMS,2021-09-02,0.0,0.0,6.0,0.0,6.0
148,ADAMS,2021-09-03,0.0,1.0,1.0,0.0,2.0
149,ADAMS,2021-09-07,0.0,0.0,1.0,0.0,1.0
150,ADAMS,2021-09-08,0.0,4.0,4.0,0.0,8.0
151,ADAMS,2021-09-09,0.0,0.0,1.0,0.0,1.0
152,ADAMS,2021-09-10,0.0,1.0,2.0,0.0,3.0
153,ADAMS,2021-09-13,0.0,1.0,0.0,0.0,1.0
154,ADAMS,2021-09-14,0.0,1.0,2.0,0.0,3.0
155,ADAMS,2021-09-15,0.0,5.0,0.0,0.0,5.0
156,ADAMS,2021-09-17,0.0,0.0,3.0,0.0,3.0
157,ADAMS,2021-09-21,1.0,0.0,0.0,0.0,1.0
158,ADAMS,2021-09-22,0.0,8.0,2.0,0.0,10.0
159,ADAMS,2021-09-23,0.0,0.0,3.0,0.0,3.0
160,ADAMS,2021-09-24,0.0,1.0,1.0,0.0,2.0
161,ADAMS,2021-09-27,0.0,0.0,1.0,0.0,1.0
162,ADAMS,2021-09-28,0.0,0.0,4.0,0.0,4.0
163,ADAMS,2021-09-29,0.0,19.0,12.0,0.0,31.0
164,ADAMS,2021-09-30,0.0,0.0,6.0,0.0,6.0
165,ADAMS,2021-10-01,0.0,0.0,8.0,0.0,8.0
166,ADAMS,2021-10-04,0.0,0.0,5.0,0.0,5.0
167,ADAMS,2021-10-05,0.0,0.0,3.0,0.0,3.0
168,ADAMS,2021-10-06,0.0,6.0,7.0,0.0,13.0
169,ADAMS,2021-10-07,0.0,0.0,2.0,0.0,2.0
170,ADAMS,2021-10-08,0.0,0.0,33.0,0.0,33.0
171,ADAMS,2021-10-11,0.0,0.0,1.0,0.0,1.0
172,ADAMS,2021-10-12,0.0,0.0,2.0,0.0,2.0
