,Town,Age Group,At least one census tract SVI≥0.75,Population,Initiated Vaccination Count,Initiated Vaccination Percent,Fully Vaccinated Count,Fully Vaccinated Percent,Date Updated
109,Deep River,45-64,No,1439.0,1071,74.43,690,47.95,04/21/2021
110,Deep River,65+,No,848.0,901,100.0,799,94.22,04/21/2021
111,Derby,15-44,Yes,5045.0,1533,30.39,658,13.04,04/21/2021
112,Derby,45-64,Yes,3559.0,2066,58.05,1201,33.75,04/21/2021
113,Derby,65+,Yes,2052.0,1593,77.63,1342,65.4,04/21/2021
114,Durham,15-44,No,2462.0,1151,46.75,578,23.48,04/21/2021
115,Durham,45-64,No,2482.0,1723,69.42,1196,48.19,04/21/2021
116,Durham,65+,No,1099.0,1186,100.0,1117,100.0,04/21/2021
117,East Granby,15-44,No,1766.0,812,45.98,317,17.95,04/21/2021
118,East Granby,45-64,No,1669.0,1199,71.84,807,48.35,04/21/2021
119,East Granby,65+,No,793.0,759,95.71,695,87.64,04/21/2021
120,East Haddam,15-44,No,2955.0,1032,34.92,450,15.23,04/21/2021
121,East Haddam,45-64,No,3322.0,1762,53.04,1113,33.5,04/21/2021
122,East Haddam,65+,No,1470.0,1532,100.0,1205,81.97,04/21/2021
123,East Hampton,15-44,No,4410.0,1750,39.68,882,20.0,04/21/2021
124,East Hampton,45-64,No,4432.0,2759,62.25,1788,40.34,04/21/2021
125,East Hampton,65+,No,1852.0,1982,100.0,1800,97.19,04/21/2021
126,East Hartford,15-44,Yes,20388.0,5091,24.97,2201,10.8,04/21/2021
127,East Hartford,45-64,Yes,14093.0,8047,57.1,4728,33.55,04/21/2021
128,East Hartford,65+,Yes,6971.0,6164,88.42,5181,74.32,04/21/2021
129,East Haven,15-44,Yes,10947.0,3257,29.75,1557,14.22,04/21/2021
130,East Haven,45-64,Yes,8555.0,4924,57.56,3146,36.77,04/21/2021
131,East Haven,65+,Yes,5413.0,4200,77.59,3761,69.48,04/21/2021
132,East Lyme,15-44,No,6585.0,2848,43.25,1441,21.88,04/21/2021
133,East Lyme,45-64,No,5827.0,4142,71.08,3009,51.64,04/21/2021
134,East Lyme,65+,No,3939.0,4110,100.0,3829,97.21,04/21/2021
