,zip,status,Number,rpt_date
198,73078.0,Deceased,13,02/01/2022
199,73078.0,Recovered*,2716,02/01/2022
200,73079.0,Active,8,02/01/2022
201,73079.0,Deceased,1 to 4,02/01/2022
202,73079.0,Recovered*,122,02/01/2022
203,73080.0,Active,312,02/01/2022
204,73080.0,Deceased,39,02/01/2022
205,73080.0,Recovered*,2489,02/01/2022
206,73082.0,Active,51,02/01/2022
207,73082.0,Deceased,8,02/01/2022
208,73082.0,Recovered*,543,02/01/2022
209,73084.0,Active,110,02/01/2022
210,73084.0,Deceased,26,02/01/2022
211,73084.0,Recovered*,1222,02/01/2022
212,73086.0,Active,302,02/01/2022
213,73086.0,Deceased,41,02/01/2022
214,73086.0,Recovered*,2096,02/01/2022
215,73089.0,Active,341,02/01/2022
216,73089.0,Deceased,40,02/01/2022
217,73089.0,Recovered*,3038,02/01/2022
218,73090.0,Active,14,02/01/2022
219,73090.0,Deceased,1 to 4,02/01/2022
220,73090.0,Recovered*,226,02/01/2022
221,73092.0,Active,18,02/01/2022
222,73092.0,Deceased,1 to 4,02/01/2022
223,73092.0,Recovered*,176,02/01/2022
224,73093.0,Active,106,02/01/2022
225,73093.0,Deceased,8,02/01/2022
226,73093.0,Recovered*,789,02/01/2022
227,73095.0,Active,61,02/01/2022
228,73095.0,Deceased,7,02/01/2022
229,73095.0,Recovered*,448,02/01/2022
230,73096.0,Active,306,02/01/2022
231,73096.0,Deceased,45,02/01/2022
232,73096.0,Recovered*,3080,02/01/2022
233,73097.0,Active,10,02/01/2022
234,73097.0,Deceased,1 to 4,02/01/2022
235,73097.0,Recovered*,49,02/01/2022
236,73098.0,Active,114,02/01/2022
237,73098.0,Deceased,16,02/01/2022
238,73098.0,Recovered*,870,02/01/2022
239,73099.0,Active,1785,02/01/2022
240,73099.0,Deceased,155,02/01/2022
241,73099.0,Recovered*,18395,02/01/2022
242,73102.0,Active,65,02/01/2022
243,73102.0,Deceased,8,02/01/2022
244,73102.0,Recovered*,1279,02/01/2022
245,73103.0,Active,101,02/01/2022
246,73103.0,Deceased,7,02/01/2022
247,73103.0,Recovered*,1076,02/01/2022
248,73104.0,Active,61,02/01/2022
249,73104.0,Deceased,6,02/01/2022
250,73104.0,Recovered*,842,02/01/2022
251,73105.0,Active,119,02/01/2022
252,73105.0,Deceased,16,02/01/2022
253,73105.0,Recovered*,1219,02/01/2022
254,73106.0,Active,236,02/01/2022
255,73106.0,Deceased,14,02/01/2022
256,73106.0,Recovered*,2328,02/01/2022
257,73107.0,Active,441,02/01/2022
258,73107.0,Deceased,61,02/01/2022
259,73107.0,Recovered*,4966,02/01/2022
260,73108.0,Active,208,02/01/2022
261,73108.0,Deceased,50,02/01/2022
262,73108.0,Recovered*,3058,02/01/2022
263,73109.0,Active,363,02/01/2022
264,73109.0,Deceased,61,02/01/2022
265,73109.0,Recovered*,4582,02/01/2022
266,73110.0,Active,731,02/01/2022
267,73110.0,Deceased,98,02/01/2022
268,73110.0,Recovered*,6364,02/01/2022
269,73111.0,Active,245,02/01/2022
270,73111.0,Deceased,65,02/01/2022
271,73111.0,Recovered*,2634,02/01/2022
272,73112.0,Active,615,02/01/2022
273,73112.0,Deceased,85,02/01/2022
274,73112.0,Recovered*,6201,02/01/2022
275,73114.0,Active,313,02/01/2022
276,73114.0,Deceased,42,02/01/2022
277,73114.0,Recovered*,3776,02/01/2022
278,73115.0,Active,446,02/01/2022
279,73115.0,Deceased,71,02/01/2022
280,73115.0,Recovered*,4156,02/01/2022
281,73116.0,Active,214,02/01/2022
282,73116.0,Deceased,45,02/01/2022
283,73116.0,Recovered*,1920,02/01/2022
284,73117.0,Active,115,02/01/2022
285,73117.0,Deceased,19,02/01/2022
286,73117.0,Recovered*,1203,02/01/2022
287,73118.0,Active,246,02/01/2022
288,73118.0,Deceased,26,02/01/2022
289,73118.0,Recovered*,2552,02/01/2022
290,73119.0,Active,505,02/01/2022
291,73119.0,Deceased,121,02/01/2022
292,73119.0,Recovered*,6800,02/01/2022
293,73120.0,Active,702,02/01/2022
294,73120.0,Deceased,80,02/01/2022
295,73120.0,Recovered*,6972,02/01/2022
296,73121.0,Active,48,02/01/2022
297,73121.0,Deceased,14,02/01/2022
298,73121.0,Recovered*,640,02/01/2022
299,73122.0,Active,196,02/01/2022
300,73122.0,Deceased,33,02/01/2022
301,73122.0,Recovered*,2607,02/01/2022
302,73127.0,Active,477,02/01/2022
303,73127.0,Deceased,51,02/01/2022
304,73127.0,Recovered*,4826,02/01/2022
305,73128.0,Active,117,02/01/2022
306,73128.0,Deceased,8,02/01/2022
307,73128.0,Recovered*,1230,02/01/2022
308,73129.0,Active,374,02/01/2022
309,73129.0,Deceased,56,02/01/2022
310,73129.0,Recovered*,4227,02/01/2022
311,73130.0,Active,500,02/01/2022
312,73130.0,Deceased,61,02/01/2022
313,73130.0,Recovered*,4335,02/01/2022
314,73131.0,Active,78,02/01/2022
315,73131.0,Deceased,6,02/01/2022
316,73131.0,Recovered*,822,02/01/2022
317,73132.0,Active,606,02/01/2022
318,73132.0,Deceased,75,02/01/2022
319,73132.0,Recovered*,5648,02/01/2022
320,73134.0,Active,170,02/01/2022
321,73134.0,Deceased,10,02/01/2022
322,73134.0,Recovered*,1444,02/01/2022
323,73135.0,Active,507,02/01/2022
324,73135.0,Deceased,55,02/01/2022
325,73135.0,Recovered*,4693,02/01/2022
326,73139.0,Active,435,02/01/2022
