,Town,At least one census tract SVI≥0.75,Population,Initiated Vaccination Count,Initiated Vaccination Percent,Fully Vaccinated Count,Fully Vaccinated Percent,Additional Dose 1 Received Count,Additional Dose 1 Received Percent,Date Updated
718,Danbury,Yes,84694.0,66763,78.83,57607,68.02,,,12/29/2021
719,Darien,No,21728.0,19845,91.33,17242,79.35,,,12/29/2021
720,Deep River,No,4443.0,3721,83.75,3413,76.82,,,12/29/2021
721,Derby,Yes,12339.0,12199,98.87,10141,82.19,,,12/29/2021
722,Durham,No,7165.0,5725,79.9,5307,74.07,,,12/29/2021
723,East Granby,No,5140.0,4078,79.34,3739,72.74,,,12/29/2021
724,East Haddam,No,8997.0,6642,73.82,5936,65.98,,,12/29/2021
725,East Hampton,No,12800.0,9750,76.17,8924,69.72,,,12/29/2021
726,East Hartford,Yes,49872.0,37602,75.4,33686,67.54,,,12/29/2021
727,East Haven,Yes,28569.0,19805,69.32,18047,63.17,,,12/29/2021
728,East Lyme,No,18462.0,15848,85.84,14386,77.92,,,12/29/2021
729,East Windsor,No,11668.0,8143,69.79,7363,63.1,,,12/29/2021
730,Eastford,No,1790.0,1135,63.41,1055,58.94,,,12/29/2021
731,Easton,No,7521.0,6161,81.92,5499,73.12,,,12/29/2021
732,Ellington,No,16467.0,12466,75.7,11396,69.21,,,12/29/2021
733,Enfield,Yes,43659.0,28741,65.83,26134,59.86,,,12/29/2021
734,Essex,No,6668.0,5884,88.24,5299,79.47,,,12/29/2021
735,Fairfield,No,62045.0,50134,80.8,44640,71.95,,,12/29/2021
736,Farmington,No,25497.0,23128,90.71,20981,82.29,,,12/29/2021
737,Franklin,No,1920.0,1369,71.3,1260,65.62,,,12/29/2021
738,Glastonbury,No,34482.0,30572,88.66,27746,80.47,,,12/29/2021
739,Goshen,No,2863.0,2218,77.47,2025,70.73,,,12/29/2021
740,Granby,No,11507.0,8804,76.51,8074,70.17,,,12/29/2021
741,Greenwich,No,62840.0,51647,82.19,44412,70.67,,,12/29/2021
742,Griswold,Yes,11534.0,7262,62.96,6668,57.81,,,12/29/2021
743,Groton,Yes,38436.0,25962,67.55,23366,60.79,,,12/29/2021
744,Guilford,No,22133.0,19531,88.24,17470,78.93,,,12/29/2021
745,Haddam,No,8193.0,6819,83.23,6237,76.13,,,12/29/2021
746,Hamden,No,60556.0,44537,73.55,40710,67.23,,,12/29/2021
747,Hampton,No,1842.0,1229,66.72,1126,61.13,,,12/29/2021
748,Hartford,Yes,122105.0,73856,60.49,64298,52.66,,,12/29/2021
