,Town,At least one census tract SVI≥0.75,Population,Initiated Vaccination Count,Initiated Vaccination Percent,Fully Vaccinated Count,Fully Vaccinated Percent,Additional Dose 1 Received Count,Additional Dose 1 Received Percent,Date Updated
6570,Ledyard,No,14621.0,10232,69.98,9599,65.65,,,11/17/2021
6571,Lisbon,No,4220.0,2798,66.3,2651,62.82,,,11/17/2021
6572,Litchfield,No,8094.0,6055,74.81,5632,69.58,,,11/17/2021
6573,Lyme,No,2316.0,2052,88.6,1910,82.47,,,11/17/2021
6574,Madison,No,18030.0,14777,81.96,13822,76.66,,,11/17/2021
6575,Manchester,Yes,57584.0,40378,70.12,37545,65.2,,,11/17/2021
6576,Mansfield,No,25487.0,10598,41.58,9872,38.73,,,11/17/2021
6577,Marlborough,No,6335.0,4679,73.86,4410,69.61,,,11/17/2021
6578,Meriden,Yes,59395.0,41211,69.38,38213,64.34,,,11/17/2021
6579,Middlebury,No,7798.0,5915,75.85,5542,71.07,,,11/17/2021
6580,Middlefield,No,4374.0,3170,72.47,3017,68.98,,,11/17/2021
6581,Middletown,Yes,46258.0,34829,75.29,32552,70.37,,,11/17/2021
6582,Milford,Yes,54747.0,39528,72.2,37374,68.27,,,11/17/2021
6583,Monroe,No,19434.0,14304,73.6,13447,69.19,,,11/17/2021
6584,Montville,Yes,18508.0,12113,65.45,11306,61.09,,,11/17/2021
6585,Morris,No,2254.0,1569,69.61,1450,64.33,,,11/17/2021
6586,Naugatuck,No,31108.0,20569,66.12,19133,61.51,,,11/17/2021
6587,New Britain,Yes,72495.0,42455,58.56,39056,53.87,,,11/17/2021
6588,New Canaan,No,20233.0,16536,81.73,14843,73.36,,,11/17/2021
6589,New Fairfield,No,13878.0,9679,69.74,8749,63.04,,,11/17/2021
6590,New Hartford,No,6656.0,4697,70.57,4430,66.56,,,11/17/2021
6591,New Haven,Yes,130250.0,85347,65.53,76636,58.84,,,11/17/2021
6592,New London,Yes,26858.0,17283,64.35,15795,58.81,,,11/17/2021
6593,New Milford,No,26805.0,20437,76.24,18774,70.04,,,11/17/2021
6594,Newington,No,30014.0,22810,76.0,21624,72.05,,,11/17/2021
6595,Newtown,No,27891.0,20822,74.65,19491,69.88,,,11/17/2021
6596,Norfolk,No,1630.0,1135,69.63,1045,64.11,,,11/17/2021
6597,North Branford,No,14146.0,10868,76.83,10239,72.38,,,11/17/2021
6598,North Canaan,No,3251.0,1948,59.92,1789,55.03,,,11/17/2021
6599,North Haven,No,23683.0,19908,84.06,18820,79.47,,,11/17/2021
6600,North Stonington,No,5196.0,3226,62.09,3068,59.05,,,11/17/2021
6601,Norwalk,Yes,88816.0,68934,77.61,62118,69.94,,,11/17/2021
6602,Norwich,Yes,38768.0,24948,64.35,23082,59.54,,,11/17/2021
6603,Old Lyme,No,7306.0,5977,81.81,5582,76.4,,,11/17/2021
6604,Old Saybrook,No,10061.0,8859,88.05,8190,81.4,,,11/17/2021
6605,Orange,Yes,13926.0,10926,78.46,10267,73.73,,,11/17/2021
6606,Oxford,No,13255.0,9269,69.93,8720,65.79,,,11/17/2021
6607,Plainfield,Yes,15125.0,8680,57.39,8107,53.6,,,11/17/2021
6608,Plainville,No,17534.0,12123,69.14,11404,65.04,,,11/17/2021
6609,Plymouth,No,11598.0,7055,60.83,6692,57.7,,,11/17/2021
6610,Pomfret,No,4203.0,2945,70.07,2694,64.1,,,11/17/2021
6611,Portland,No,9267.0,7096,76.57,6622,71.46,,,11/17/2021
6612,Preston,No,4625.0,3127,67.61,3001,64.89,,,11/17/2021
6613,Prospect,No,9702.0,6713,69.19,6364,65.59,,,11/17/2021
6614,Putnam,No,9389.0,5523,58.82,5118,54.51,,,11/17/2021
6615,Redding,No,9116.0,6518,71.5,6021,66.05,,,11/17/2021
6616,Resident out of state,,,106938,,73553,,,,11/17/2021
6617,Ridgefield,No,24959.0,19131,76.65,17668,70.79,,,11/17/2021
6618,Rocky Hill,No,20115.0,15517,77.14,14653,72.85,,,11/17/2021
6619,Roxbury,No,2152.0,1762,81.88,1599,74.3,,,11/17/2021
6620,Salem,No,4083.0,2984,73.08,2790,68.33,,,11/17/2021
6621,Salisbury,No,3600.0,3508,97.44,3121,86.69,,,11/17/2021
6622,Scotland,No,1672.0,975,58.31,923,55.2,,,11/17/2021
6623,Seymour,No,16437.0,11345,69.02,10640,64.73,,,11/17/2021
6624,Sharon,No,2689.0,1864,69.32,1701,63.26,,,11/17/2021
6625,Shelton,No,41129.0,29959,72.84,28224,68.62,,,11/17/2021
6626,Sherman,No,3630.0,2410,66.39,2192,60.39,,,11/17/2021
6627,Simsbury,No,25395.0,19657,77.41,18387,72.4,,,11/17/2021
6628,Somers,No,10784.0,6807,63.12,6324,58.64,,,11/17/2021
6629,South Windsor,No,26162.0,21024,80.36,19538,74.68,,,11/17/2021
6630,Southbury,No,19571.0,14926,76.27,13918,71.12,,,11/17/2021
6631,Southington,No,43834.0,32478,74.09,30817,70.3,,,11/17/2021
6632,Sprague,No,2859.0,1720,60.16,1614,56.45,,,11/17/2021
6633,Stafford,No,11893.0,6874,57.8,6418,53.96,,,11/17/2021
6634,Stamford,Yes,129638.0,103998,80.22,92791,71.58,,,11/17/2021
6635,Sterling,No,3782.0,1887,49.89,1764,46.64,,,11/17/2021
6636,Stonington,No,18559.0,13757,74.13,12881,69.41,,,11/17/2021
6637,Stratford,No,51849.0,36585,70.56,34254,66.06,,,11/17/2021
6638,Suffield,No,15814.0,10817,68.4,10008,63.29,,,11/17/2021
6639,Thomaston,No,7535.0,5146,68.29,4887,64.86,,,11/17/2021
6640,Thompson,No,9379.0,4633,49.4,4309,45.94,,,11/17/2021
6641,Tolland,No,14618.0,11146,76.25,10321,70.6,,,11/17/2021
6642,Torrington,Yes,34044.0,23716,69.66,22198,65.2,,,11/17/2021
6643,Trumbull,No,35673.0,28048,78.63,26394,73.99,,,11/17/2021
6644,Union,No,839.0,532,63.41,502,59.83,,,11/17/2021
6645,Vernon,Yes,29359.0,21322,72.63,19994,68.1,,,11/17/2021
6646,Voluntown,No,2510.0,1588,63.27,1509,60.12,,,11/17/2021
6647,Wallingford,No,44326.0,33671,75.96,31818,71.78,,,11/17/2021
6648,Warren,No,1395.0,1003,71.9,937,67.17,,,11/17/2021
6649,Washington,No,3428.0,2892,84.36,2615,76.28,,,11/17/2021
6650,Waterbury,Yes,107568.0,66298,61.63,59852,55.64,,,11/17/2021
6651,Waterford,Yes,18746.0,14769,78.78,13855,73.91,,,11/17/2021
6652,Watertown,No,21578.0,15626,72.42,14695,68.1,,,11/17/2021
6653,West Hartford,Yes,62965.0,51923,82.46,48390,76.85,,,11/17/2021
6654,West Haven,Yes,54620.0,37170,68.05,34703,63.54,,,11/17/2021
6655,Westbrook,No,6869.0,5388,78.44,5000,72.79,,,11/17/2021
6656,Weston,No,10252.0,8086,78.87,7410,72.28,,,11/17/2021
6657,Westport,No,28491.0,22288,78.23,20219,70.97,,,11/17/2021
6658,Wethersfield,No,26008.0,20853,80.18,19751,75.94,,,11/17/2021
6659,Willington,No,5864.0,3694,62.99,3457,58.95,,,11/17/2021
6660,Wilton,No,18343.0,14798,80.67,13621,74.26,,,11/17/2021
6661,Winchester,Yes,10604.0,6720,63.37,6250,58.94,,,11/17/2021
6662,Windham,Yes,24561.0,14539,59.2,13498,54.96,,,11/17/2021
6663,Windsor,No,28733.0,21956,76.41,20492,71.32,,,11/17/2021
6664,Windsor Locks,Yes,12854.0,8751,68.08,8168,63.54,,,11/17/2021
6665,Wolcott,No,16587.0,11307,68.17,10671,64.33,,,11/17/2021
6666,Woodbridge,No,8750.0,7143,81.63,6663,76.15,,,11/17/2021
6667,Woodbury,No,9502.0,7021,73.89,6631,69.79,,,11/17/2021
6668,Woodstock,No,7858.0,5175,65.86,4850,61.72,,,11/17/2021
6669,Address pending validation,,,15111,,13309,,,,11/24/2021
6670,Andover,No,3236.0,2308,71.32,2157,66.66,,,11/24/2021
6671,Ansonia,Yes,18654.0,11975,64.2,10962,58.76,,,11/24/2021
6672,Ashford,No,4255.0,2865,67.33,2652,62.33,,,11/24/2021
6673,Avon,No,18276.0,16191,88.59,14358,78.56,,,11/24/2021
6674,Barkhamsted,No,3606.0,2647,73.41,2449,67.91,,,11/24/2021
6675,Beacon Falls,No,6222.0,4248,68.27,3951,63.5,,,11/24/2021
6676,Berlin,No,20436.0,15102,73.9,14098,68.99,,,11/24/2021
6677,Bethany,No,5548.0,4197,75.65,3807,68.62,,,11/24/2021
6678,Bethel,No,19800.0,14328,72.36,12820,64.75,,,11/24/2021
6679,Bethlehem,No,3402.0,2303,67.7,2134,62.73,,,11/24/2021
6680,Bloomfield,No,21211.0,16567,78.11,15079,71.09,,,11/24/2021
6681,Bolton,No,4884.0,3646,74.65,3346,68.51,,,11/24/2021
6682,Bozrah,No,2726.0,1732,63.54,1642,60.23,,,11/24/2021
6683,Branford,No,27900.0,22084,79.15,20246,72.57,,,11/24/2021
6684,Bridgeport,Yes,144399.0,91732,63.53,81665,56.56,,,11/24/2021
6685,Bridgewater,No,1635.0,1328,81.22,1208,73.88,,,11/24/2021
6686,Bristol,Yes,59947.0,42667,71.17,39082,65.19,,,11/24/2021
6687,Brookfield,No,16973.0,13140,77.42,11938,70.34,,,11/24/2021
6688,Brooklyn,No,8272.0,5195,62.8,4737,57.27,,,11/24/2021
6689,Burlington,No,9704.0,7282,75.04,6644,68.47,,,11/24/2021
6690,Canaan,No,1053.0,1215,100.0,1104,100.0,,,11/24/2021
6691,Canterbury,No,5079.0,3230,63.6,2998,59.03,,,11/24/2021
6692,Canton,No,10254.0,7969,77.72,7206,70.28,,,11/24/2021
6693,Chaplin,No,2239.0,1424,63.6,1331,59.45,,,11/24/2021
6694,Cheshire,No,28937.0,23540,81.35,21189,73.22,,,11/24/2021
6695,Chester,No,4213.0,3152,74.82,2925,69.43,,,11/24/2021
6696,Clinton,No,12925.0,10573,81.8,9674,74.85,,,11/24/2021
6697,Colchester,No,15809.0,11824,74.79,10897,68.93,,,11/24/2021
6698,Colebrook,No,1400.0,1055,75.36,959,68.5,,,11/24/2021
6699,Columbia,No,5379.0,3868,71.91,3585,66.65,,,11/24/2021
6700,Cornwall,No,1362.0,1199,88.03,1048,76.95,,,11/24/2021
6701,Coventry,No,12407.0,8989,72.45,8283,66.76,,,11/24/2021
6702,Cromwell,No,13839.0,11520,83.24,10584,76.48,,,11/24/2021
6703,Danbury,Yes,84694.0,63840,75.38,56071,66.2,,,11/24/2021
6704,Darien,No,21728.0,18808,86.56,15698,72.25,,,11/24/2021
6705,Deep River,No,4443.0,3530,79.45,3277,73.76,,,11/24/2021
6706,Derby,Yes,12339.0,10946,88.71,9230,74.8,,,11/24/2021
6707,Durham,No,7165.0,5559,77.59,5122,71.49,,,11/24/2021
6708,East Granby,No,5140.0,3962,77.08,3608,70.19,,,11/24/2021
6709,East Haddam,No,8997.0,6387,70.99,5767,64.1,,,11/24/2021
6710,East Hampton,No,12800.0,9341,72.98,8588,67.09,,,11/24/2021
6711,East Hartford,Yes,49872.0,36195,72.58,32594,65.36,,,11/24/2021
6712,East Haven,Yes,28569.0,19144,67.01,17588,61.56,,,11/24/2021
6713,East Lyme,No,18462.0,15240,82.55,13800,74.75,,,11/24/2021
6714,East Windsor,No,11668.0,7797,66.82,7122,61.04,,,11/24/2021
6715,Eastford,No,1790.0,1112,62.12,1044,58.32,,,11/24/2021
6716,Easton,No,7521.0,5902,78.47,5259,69.92,,,11/24/2021
6717,Ellington,No,16467.0,11850,71.96,10870,66.01,,,11/24/2021
6718,Enfield,Yes,43659.0,27649,63.33,25405,58.19,,,11/24/2021
6719,Essex,No,6668.0,5635,84.51,5137,77.04,,,11/24/2021
6720,Fairfield,No,62045.0,47513,76.58,42164,67.96,,,11/24/2021
6721,Farmington,No,25497.0,22027,86.39,19946,78.23,,,11/24/2021
6722,Franklin,No,1920.0,1329,69.22,1234,64.27,,,11/24/2021
6723,Glastonbury,No,34482.0,29217,84.73,26217,76.03,,,11/24/2021
6724,Goshen,No,2863.0,2171,75.83,1955,68.29,,,11/24/2021
6725,Granby,No,11507.0,8524,74.08,7713,67.03,,,11/24/2021
6726,Greenwich,No,62840.0,49213,78.31,42110,67.01,,,11/24/2021
6727,Griswold,Yes,11534.0,6950,60.26,6456,55.97,,,11/24/2021
6728,Groton,Yes,38436.0,24868,64.7,22629,58.87,,,11/24/2021
6729,Guilford,No,22133.0,18857,85.2,16811,75.95,,,11/24/2021
6730,Haddam,No,8193.0,6514,79.51,6074,74.14,,,11/24/2021
6731,Hamden,No,60556.0,43062,71.11,39222,64.77,,,11/24/2021
6732,Hampton,No,1842.0,1181,64.12,1101,59.77,,,11/24/2021
6733,Hartford,Yes,122105.0,70706,57.91,61922,50.71,,,11/24/2021
6734,Hartland,No,2120.0,1300,61.32,1202,56.7,,,11/24/2021
6735,Harwinton,No,5420.0,3894,71.85,3599,66.4,,,11/24/2021
6736,Hebron,No,9504.0,7137,75.09,6556,68.98,,,11/24/2021
6737,Kent,No,2777.0,2490,89.67,2194,79.01,,,11/24/2021
6738,Killingly,Yes,17336.0,10213,58.91,9384,54.13,,,11/24/2021
6739,Killingworth,No,6364.0,4900,77.0,4557,71.61,,,11/24/2021
6740,Lebanon,No,7144.0,5052,70.72,4702,65.82,,,11/24/2021
6741,Ledyard,No,14621.0,10660,72.91,9673,66.16,,,11/24/2021
6742,Lisbon,No,4220.0,2852,67.58,2657,62.96,,,11/24/2021
6743,Litchfield,No,8094.0,6260,77.34,5665,69.99,,,11/24/2021
6744,Lyme,No,2316.0,2102,90.76,1910,82.47,,,11/24/2021
6745,Madison,No,18030.0,15474,85.82,13827,76.69,,,11/24/2021
6746,Manchester,Yes,57584.0,41396,71.89,37692,65.46,,,11/24/2021
6747,Mansfield,No,25487.0,11002,43.17,9933,38.97,,,11/24/2021
6748,Marlborough,No,6335.0,4848,76.53,4424,69.83,,,11/24/2021
6749,Meriden,Yes,59395.0,42104,70.89,38386,64.63,,,11/24/2021
6750,Middlebury,No,7798.0,6076,77.92,5545,71.11,,,11/24/2021
6751,Middlefield,No,4374.0,3268,74.71,3033,69.34,,,11/24/2021
6752,Middletown,Yes,46258.0,35627,77.02,32608,70.49,,,11/24/2021
6753,Milford,Yes,54747.0,40499,73.97,37456,68.42,,,11/24/2021
6754,Monroe,No,19434.0,14882,76.58,13461,69.27,,,11/24/2021
6755,Montville,Yes,18508.0,12391,66.95,11359,61.37,,,11/24/2021
6756,Morris,No,2254.0,1599,70.94,1455,64.55,,,11/24/2021
6757,Naugatuck,No,31108.0,21071,67.73,19211,61.76,,,11/24/2021
6758,New Britain,Yes,72495.0,43116,59.47,39257,54.15,,,11/24/2021
6759,New Canaan,No,20233.0,17785,87.9,14853,73.41,,,11/24/2021
6760,New Fairfield,No,13878.0,10005,72.09,8797,63.39,,,11/24/2021
6761,New Hartford,No,6656.0,4840,72.72,4437,66.66,,,11/24/2021
6762,New Haven,Yes,130250.0,86422,66.35,76868,59.02,,,11/24/2021
6763,New London,Yes,26858.0,17581,65.46,15865,59.07,,,11/24/2021
6764,New Milford,No,26805.0,20647,77.03,18795,70.12,,,11/24/2021
6765,Newington,No,30014.0,23254,77.48,21676,72.22,,,11/24/2021
6766,Newtown,No,27891.0,21679,77.73,19534,70.04,,,11/24/2021
6767,Norfolk,No,1630.0,1165,71.47,1047,64.23,,,11/24/2021
6768,North Branford,No,14146.0,11123,78.63,10262,72.54,,,11/24/2021
6769,North Canaan,No,3251.0,1973,60.69,1796,55.24,,,11/24/2021
6770,North Haven,No,23683.0,20456,86.37,18863,79.65,,,11/24/2021
6771,North Stonington,No,5196.0,3322,63.93,3089,59.45,,,11/24/2021
6772,Norwalk,Yes,88816.0,69997,78.81,62307,70.15,,,11/24/2021
6773,Norwich,Yes,38768.0,25414,65.55,23175,59.78,,,11/24/2021
6774,Old Lyme,No,7306.0,6173,84.49,5587,76.47,,,11/24/2021
6775,Old Saybrook,No,10061.0,9041,89.86,8203,81.53,,,11/24/2021
6776,Orange,Yes,13926.0,11367,81.62,10322,74.12,,,11/24/2021
6777,Oxford,No,13255.0,9486,71.57,8749,66.01,,,11/24/2021
6778,Plainfield,Yes,15125.0,8884,58.74,8155,53.92,,,11/24/2021
6779,Plainville,No,17534.0,12377,70.59,11442,65.26,,,11/24/2021
6780,Plymouth,No,11598.0,7191,62.0,6710,57.85,,,11/24/2021
6781,Pomfret,No,4203.0,2988,71.09,2698,64.19,,,11/24/2021
6782,Portland,No,9267.0,7293,78.7,6639,71.64,,,11/24/2021
6783,Preston,No,4625.0,3205,69.3,3030,65.51,,,11/24/2021
6784,Prospect,No,9702.0,6910,71.22,6383,65.79,,,11/24/2021
6785,Putnam,No,9389.0,5681,60.51,5137,54.71,,,11/24/2021
6786,Redding,No,9116.0,6882,75.49,6048,66.34,,,11/24/2021
6787,Resident out of state,,,113488,,74793,,,,11/24/2021
6788,Ridgefield,No,24959.0,20241,81.1,17679,70.83,,,11/24/2021
6789,Rocky Hill,No,20115.0,15986,79.47,14715,73.15,,,11/24/2021
6790,Roxbury,No,2152.0,1798,83.55,1599,74.3,,,11/24/2021
6791,Salem,No,4083.0,3064,75.04,2794,68.43,,,11/24/2021
6792,Salisbury,No,3600.0,3556,98.78,3125,86.81,,,11/24/2021
6793,Scotland,No,1672.0,992,59.33,928,55.5,,,11/24/2021
6794,Seymour,No,16437.0,11602,70.58,10702,65.11,,,11/24/2021
6795,Sharon,No,2689.0,1897,70.55,1698,63.15,,,11/24/2021
6796,Shelton,No,41129.0,30634,74.48,28304,68.82,,,11/24/2021
6797,Sherman,No,3630.0,2480,68.32,2207,60.8,,,11/24/2021
6798,Simsbury,No,25395.0,20798,81.9,18449,72.65,,,11/24/2021
6799,Somers,No,10784.0,6952,64.47,6367,59.04,,,11/24/2021
6800,South Windsor,No,26162.0,21414,81.85,19575,74.82,,,11/24/2021
6801,Southbury,No,19571.0,15358,78.47,13957,71.31,,,11/24/2021
6802,Southington,No,43834.0,33327,76.03,30885,70.46,,,11/24/2021
6803,Sprague,No,2859.0,1757,61.46,1635,57.19,,,11/24/2021
6804,Stafford,No,11893.0,7030,59.11,6435,54.11,,,11/24/2021
6805,Stamford,Yes,129638.0,106235,81.95,93008,71.74,,,11/24/2021
6806,Sterling,No,3782.0,1927,50.95,1777,46.99,,,11/24/2021
6807,Stonington,No,18559.0,14105,76.0,12908,69.55,,,11/24/2021
6808,Stratford,No,51849.0,37337,72.01,34379,66.31,,,11/24/2021
6809,Suffield,No,15814.0,11029,69.74,10032,63.44,,,11/24/2021
6810,Thomaston,No,7535.0,5245,69.61,4908,65.14,,,11/24/2021
6811,Thompson,No,9379.0,4753,50.68,4327,46.13,,,11/24/2021
6812,Tolland,No,14618.0,11281,77.17,10358,70.86,,,11/24/2021
6813,Torrington,Yes,34044.0,24165,70.98,22285,65.46,,,11/24/2021
6814,Trumbull,No,35673.0,29185,81.81,26444,74.13,,,11/24/2021
6815,Union,No,839.0,531,63.29,503,59.95,,,11/24/2021
6816,Vernon,Yes,29359.0,21770,74.15,20066,68.35,,,11/24/2021
6817,Voluntown,No,2510.0,1619,64.5,1512,60.24,,,11/24/2021
6818,Wallingford,No,44326.0,34581,78.02,31874,71.91,,,11/24/2021
6819,Warren,No,1395.0,1025,73.48,938,67.24,,,11/24/2021
6820,Washington,No,3428.0,2966,86.52,2609,76.11,,,11/24/2021
6821,Waterbury,Yes,107568.0,67379,62.64,60164,55.93,,,11/24/2021
6822,Waterford,Yes,18746.0,15192,81.04,13925,74.28,,,11/24/2021
6823,Watertown,No,21578.0,16013,74.21,14741,68.31,,,11/24/2021
6824,West Hartford,Yes,62965.0,54697,86.87,48527,77.07,,,11/24/2021
6825,West Haven,Yes,54620.0,37700,69.02,34813,63.74,,,11/24/2021
6826,Westbrook,No,6869.0,5482,79.81,5003,72.83,,,11/24/2021
6827,Weston,No,10252.0,8594,83.83,7417,72.35,,,11/24/2021
6828,Westport,No,28491.0,23950,84.06,20251,71.08,,,11/24/2021
6829,Wethersfield,No,26008.0,21480,82.59,19796,76.12,,,11/24/2021
6830,Willington,No,5864.0,3764,64.19,3466,59.11,,,11/24/2021
6831,Wilton,No,18343.0,15535,84.69,13637,74.34,,,11/24/2021
6832,Winchester,Yes,10604.0,6811,64.23,6272,59.15,,,11/24/2021
6833,Windham,Yes,24561.0,14740,60.01,13564,55.23,,,11/24/2021
6834,Windsor,No,28733.0,22366,77.84,20523,71.43,,,11/24/2021
6835,Windsor Locks,Yes,12854.0,8921,69.4,8189,63.71,,,11/24/2021
6836,Wolcott,No,16587.0,11609,69.99,10704,64.53,,,11/24/2021
6837,Woodbridge,No,8750.0,7581,86.64,6681,76.35,,,11/24/2021
6838,Woodbury,No,9502.0,7151,75.26,6630,69.77,,,11/24/2021
6839,Woodstock,No,7858.0,5301,67.46,4856,61.8,,,11/24/2021
6840,Address pending validation,,,14219,,11891,,3159.0,,01/27/2022
6841,Andover,No,3236.0,2450,75.71,2277,70.36,1258.0,38.88,01/27/2022
6842,Ansonia,Yes,18654.0,12912,69.22,11741,62.94,5018.0,26.9,01/27/2022
6843,Ashford,No,4255.0,3055,71.8,2825,66.39,1461.0,34.34,01/27/2022
6844,Avon,No,18276.0,17540,95.97,15928,87.15,9104.0,49.81,01/27/2022
6845,Barkhamsted,No,3606.0,2809,77.9,2620,72.66,1404.0,38.94,01/27/2022
6846,Beacon Falls,No,6222.0,4527,72.76,4168,66.99,2146.0,34.49,01/27/2022
6847,Berlin,No,20436.0,16110,78.83,14893,72.88,8164.0,39.95,01/27/2022
6848,Bethany,No,5548.0,4500,81.11,4156,74.91,2234.0,40.27,01/27/2022
6849,Bethel,No,19800.0,15956,80.59,14340,72.42,6928.0,34.99,01/27/2022
6850,Bethlehem,No,3402.0,2432,71.49,2242,65.9,1156.0,33.98,01/27/2022
6851,Bloomfield,No,21211.0,17740,83.64,15994,75.4,7791.0,36.73,01/27/2022
6852,Bolton,No,4884.0,3949,80.86,3651,74.75,2103.0,43.06,01/27/2022
6853,Bozrah,No,2726.0,1847,67.75,1710,62.73,880.0,32.28,01/27/2022
6854,Branford,No,27900.0,23365,83.75,21327,76.44,12032.0,43.13,01/27/2022
6855,Bridgeport,Yes,144399.0,101986,70.63,88195,61.08,24684.0,17.09,01/27/2022
6856,Bridgewater,No,1635.0,1402,85.75,1269,77.61,722.0,44.16,01/27/2022
6857,Bristol,Yes,59947.0,46023,76.77,42319,70.59,18917.0,31.56,01/27/2022
6858,Brookfield,No,16973.0,14411,84.91,13013,76.67,6417.0,37.81,01/27/2022
6859,Brooklyn,No,8272.0,5686,68.74,5160,62.38,2409.0,29.12,01/27/2022
6860,Burlington,No,9704.0,7813,80.51,7269,74.91,3906.0,40.25,01/27/2022
6861,Canaan,No,1053.0,1331,100.0,1179,100.0,590.0,56.03,01/27/2022
6862,Canterbury,No,5079.0,3501,68.93,3236,63.71,1544.0,30.4,01/27/2022
6863,Canton,No,10254.0,8448,82.39,7774,75.81,4319.0,42.12,01/27/2022
6864,Chaplin,No,2239.0,1546,69.05,1415,63.2,736.0,32.87,01/27/2022
6865,Cheshire,No,28937.0,24966,86.28,23069,79.72,13188.0,45.57,01/27/2022
6866,Chester,No,4213.0,3390,80.47,3126,74.2,1854.0,44.01,01/27/2022
6867,Clinton,No,12925.0,11535,89.25,10527,81.45,5851.0,45.27,01/27/2022
6868,Colchester,No,15809.0,12809,81.02,11831,74.84,6232.0,39.42,01/27/2022
6869,Colebrook,No,1400.0,1122,80.14,1037,74.07,530.0,37.86,01/27/2022
6870,Columbia,No,5379.0,4164,77.41,3867,71.89,2167.0,40.29,01/27/2022
6871,Cornwall,No,1362.0,1284,94.27,1136,83.41,667.0,48.97,01/27/2022
6872,Coventry,No,12407.0,9655,77.82,8966,72.27,4709.0,37.95,01/27/2022
6873,Cromwell,No,13839.0,12260,88.59,11362,82.1,6004.0,43.38,01/27/2022
6874,Danbury,Yes,84694.0,71606,84.55,61722,72.88,21578.0,25.48,01/27/2022
6875,Darien,No,21728.0,20943,96.39,18244,83.97,9294.0,42.77,01/27/2022
6876,Deep River,No,4443.0,3852,86.7,3565,80.24,2056.0,46.28,01/27/2022
6877,Derby,Yes,12339.0,13181,100.0,11057,89.61,4675.0,37.89,01/27/2022
6878,Durham,No,7165.0,5880,82.07,5526,77.12,3016.0,42.09,01/27/2022
6879,East Granby,No,5140.0,4164,81.01,3825,74.42,1921.0,37.37,01/27/2022
6880,East Haddam,No,8997.0,6938,77.11,6359,70.68,3241.0,36.02,01/27/2022
6881,East Hampton,No,12800.0,10063,78.62,9380,73.28,4871.0,38.05,01/27/2022
6882,East Hartford,Yes,49872.0,39265,78.73,35069,70.32,13387.0,26.84,01/27/2022
6883,East Haven,Yes,28569.0,20513,71.8,18600,65.11,8230.0,28.81,01/27/2022
6884,East Lyme,No,18462.0,16400,88.83,14956,81.01,8846.0,47.91,01/27/2022
6885,East Windsor,No,11668.0,8361,71.66,7559,64.78,3633.0,31.14,01/27/2022
6886,Eastford,No,1790.0,1162,64.92,1076,60.11,529.0,29.55,01/27/2022
6887,Easton,No,7521.0,6445,85.69,5779,76.84,3072.0,40.85,01/27/2022
6888,Ellington,No,16467.0,12957,78.68,11887,72.19,6058.0,36.79,01/27/2022
6889,Enfield,Yes,43659.0,29747,68.13,26829,61.45,12168.0,27.87,01/27/2022
6890,Essex,No,6668.0,6092,91.36,5595,83.91,3488.0,52.31,01/27/2022
6891,Fairfield,No,62045.0,52174,84.09,46686,75.25,24358.0,39.26,01/27/2022
6892,Farmington,No,25497.0,23852,93.55,21771,85.39,12084.0,47.39,01/27/2022
6893,Franklin,No,1920.0,1415,73.7,1315,68.49,672.0,35.0,01/27/2022
6894,Glastonbury,No,34482.0,31481,91.3,28913,83.85,16664.0,48.33,01/27/2022
6895,Goshen,No,2863.0,2305,80.51,2121,74.08,1165.0,40.69,01/27/2022
6896,Granby,No,11507.0,8983,78.07,8239,71.6,4051.0,35.2,01/27/2022
6897,Greenwich,No,62840.0,55976,89.08,48495,77.17,22234.0,35.38,01/27/2022
6898,Griswold,Yes,11534.0,7525,65.24,6898,59.81,3133.0,27.16,01/27/2022
6899,Groton,Yes,38436.0,27203,70.77,24484,63.7,12055.0,31.36,01/27/2022
6900,Guilford,No,22133.0,20146,91.02,18406,83.16,11094.0,50.12,01/27/2022
6901,Haddam,No,8193.0,7142,87.17,6633,80.96,3334.0,40.69,01/27/2022
6902,Hamden,No,60556.0,45926,75.84,41849,69.11,20568.0,33.97,01/27/2022
6903,Hampton,No,1842.0,1258,68.3,1157,62.81,658.0,35.72,01/27/2022
6904,Hartford,Yes,122105.0,78085,63.95,67262,55.09,19741.0,16.17,01/27/2022
6905,Hartland,No,2120.0,1377,64.95,1255,59.2,583.0,27.5,01/27/2022
6906,Harwinton,No,5420.0,4151,76.59,3880,71.59,2056.0,37.93,01/27/2022
6907,Hebron,No,9504.0,7670,80.7,7077,74.46,3966.0,41.73,01/27/2022
6908,Kent,No,2777.0,2765,99.57,2412,86.86,1162.0,41.84,01/27/2022
6909,Killingly,Yes,17336.0,10995,63.42,9954,57.42,3960.0,22.84,01/27/2022
6910,Killingworth,No,6364.0,5293,83.17,4914,77.22,2818.0,44.28,01/27/2022
6911,Lebanon,No,7144.0,5373,75.21,4986,69.79,2630.0,36.81,01/27/2022
6912,Ledyard,No,14621.0,11551,79.0,10551,72.16,5374.0,36.76,01/27/2022
6913,Lisbon,No,4220.0,3064,72.61,2826,66.97,1299.0,30.78,01/27/2022
6914,Litchfield,No,8094.0,6666,82.36,6087,75.2,3424.0,42.3,01/27/2022
6915,Lyme,No,2316.0,2252,97.24,2059,88.9,1315.0,56.78,01/27/2022
